service_name,service_impl_class,fosinit_registered,fosinit_files,published_name_evidence,runtime_service_list,service_context,service_context_source,service_context_line,shell_uid2000_find_denied,avc_tcontext,avc_source,avc_line,binder_inventory_auth_markers,binder_inventory_assessment,confidence
amazon_input,AmazonInputManagerService,NO_OR_DELEGATED,,amazon_input | amazon_keyevent,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:amazon_input_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,65,"checkCallingOrSelfPermission,enforceCallingPermission,getCallingUid,SecurityException,signature_or_privileged",candidate requires method-level review; missing markers are not a vulnerability,STRONG_EVIDENCE
amazon_keyevent,AmazonInputManagerService,NO_OR_DELEGATED,,amazon_input | amazon_keyevent,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:amazon_input_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,64,"checkCallingOrSelfPermission,enforceCallingPermission,getCallingUid,SecurityException,signature_or_privileged",candidate requires method-level review; missing markers are not a vulnerability,STRONG_EVIDENCE
amazonactivitymanager,AmazonActivityManagerService,YES,artifacts/amazon-services/amazonactivitymanager_fosinit.xml,NOT_LITERAL_OR_DELEGATED,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:amazonactivitymanager_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,83,AUTH_MARKER_NOT_OBSERVED,candidate requires method-level review; missing markers are not a vulnerability,STRONG_EVIDENCE
amazondevicepolicymanager,AmazonDevicePolicyManagerService,YES,artifacts/amazon-services/amazondevicepolicymanager_fosinit.xml,NOT_LITERAL_OR_DELEGATED,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:amazondevicepolicymanager_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,52,AUTH_MARKER_NOT_OBSERVED,candidate requires method-level review; missing markers are not a vulnerability,STRONG_EVIDENCE
amazonpackagemanager,AmazonPackageManagerService,YES,artifacts/amazon-services/amazonpackagemanager_fosinit.xml,NOT_LITERAL_OR_DELEGATED,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:amazon_package_manager_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,79,signature_or_privileged,candidate requires method-level review; missing markers are not a vulnerability,STRONG_EVIDENCE
amazonprofileservice,AmazonProfileService,NO_OR_DELEGATED,,amazonprofileservice,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:amazon_profile_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,44,"getCallingUid,SecurityException,signature_or_privileged,clearCallingIdentity",candidate requires method-level review; missing markers are not a vulnerability,STRONG_EVIDENCE
amazonusermanagerservice,AmazonUserManagerService,NO_OR_DELEGATED,,NOT_LITERAL_OR_DELEGATED,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:amazonusermanager_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,50,"getCallingUid,checkComponentPermission,SecurityException,signature_or_privileged",candidate requires method-level review; missing markers are not a vulnerability,STRONG_EVIDENCE
amazonwindowmanager,AmazonWindowManagerService,YES,artifacts/amazon-services/amazonwindowmanager_fosinit.xml,NOT_LITERAL_OR_DELEGATED,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:amazonwindowmanager_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,81,AUTH_MARKER_NOT_OBSERVED,candidate requires method-level review; missing markers are not a vulnerability,STRONG_EVIDENCE
fosdebug,FireOSDebugService,YES,artifacts/amazon-services/core_fosinit.xml,fosdebug,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,NO_OR_NOT_OBSERVED,,,,AUTH_MARKER_NOT_OBSERVED,candidate requires method-level review; missing markers are not a vulnerability,EVIDENCE_JOIN_PENDING
otadexopt,UNMAPPED,UNKNOWN,,,YES,u:object_r:otadexopt_service:s0,artifacts/phase6c/phase6c-image-policy-extract-20260804-02/system/etc/selinux/plat_service_contexts,113,NO_OR_NOT_OBSERVED,,,,UNKNOWN,NOT_MAPPED_TO_VDEX_INVENTORY,EVIDENCE_JOIN_PENDING
