elapsed_seconds	utc	get_state
0	2026-08-03T03:39:51Z	error: device 'G001LT0511550CFT' not found
2	2026-08-03T03:39:53Z	error: device 'G001LT0511550CFT' not found
4	2026-08-03T03:39:55Z	error: device 'G001LT0511550CFT' not found
6	2026-08-03T03:39:57Z	error: device 'G001LT0511550CFT' not found
8	2026-08-03T03:40:00Z	error: device 'G001LT0511550CFT' not found
11	2026-08-03T03:40:02Z	error: device 'G001LT0511550CFT' not found
13	2026-08-03T03:40:04Z	error: device 'G001LT0511550CFT' not found
15	2026-08-03T03:40:06Z	error: device 'G001LT0511550CFT' not found
17	2026-08-03T03:40:08Z	error: device 'G001LT0511550CFT' not found
19	2026-08-03T03:40:10Z	device
