elapsed_seconds	utc	resolve_output
0	2026-08-03T03:40:10Z	cmd: Can't find service: package
2	2026-08-03T03:40:12Z	cmd: Can't find service: package
4	2026-08-03T03:40:14Z	priority=-1000 preferredOrder=0 match=0x108000 specificIndex=-1 isDefault=true
com.android.settings/.FallbackHome
6	2026-08-03T03:40:16Z	priority=-1000 preferredOrder=0 match=0x108000 specificIndex=-1 isDefault=true
com.android.settings/.FallbackHome
8	2026-08-03T03:40:18Z	priority=-1000 preferredOrder=0 match=0x108000 specificIndex=-1 isDefault=true
com.android.settings/.FallbackHome
10	2026-08-03T03:40:20Z	priority=50 preferredOrder=0 match=0x108000 specificIndex=-1 isDefault=true
com.amazon.firelauncher/.Launcher
