test_id	PHASE5BJ-DEVICE-READONLY-20260804-01
serial	G001LT0511550CFT
start_utc	2026-08-04T04:37:43Z
mode	read-only
device_state	0	2026-08-04T04:37:43Z
identity	0	2026-08-04T04:37:43Z
props	0	2026-08-04T04:37:43Z
processes	0	2026-08-04T04:37:43Z
packages	0	2026-08-04T04:37:43Z
services	0	2026-08-04T04:37:43Z
init_paths	0	2026-08-04T04:37:43Z
node_metadata	0	2026-08-04T04:37:43Z
aee_nodes	0	2026-08-04T04:37:44Z
aee_access	0	2026-08-04T04:37:44Z
apex_property	0	2026-08-04T04:37:44Z
apex_paths	1	2026-08-04T04:37:44Z
apex_help	20	2026-08-04T04:37:44Z
home	0	2026-08-04T04:37:44Z
end_utc	2026-08-04T04:37:44Z
