row_id,provenance_class,surface,source_exact_path_line,user_entry,ioctl_read_write_open_path,permission_selinux,userspace_client_evidence,state_or_privilege_impact,status,source_sha256
1,OEM-MediaTek,CMDQ/MDP,"platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/cmdq/v3/cmdq_driver.c:739-741,820-824,865,894-898; mdp/mdp_ioctl_ex.c:332-405,602-729","/dev/mtk_cmdq; /proc/mtk_cmdq_debug/{status,record,instructionCount}; device sysfs attrs","cmdq_ioctl/cmdq_ioctl_compat; CMDQ async/wait/readback; mdp_ioctl_async_exec; copy_from_user/copy_to_user","proc 0440; sysfs S_IRUSR|S_IWUSR; char node mode not set in source; final ueventd/file_contexts/TE absent","No in-tree client established; no node opened or ioctl executed","Hardware/display/MDP state; theoretical DMA/register impact; no package sink","source+config confirmed; caller unknown",b3a54d37b4e498ff969a2717cb02cefc923ae6f39da32f5fd8529fe3dce6e899
2,OEM-MediaTek,M4U,"platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/m4u/2.4/m4u.c:1577-1809,2220-2270","/proc/m4u; /dev/m4u misc branch is preprocessor-inactive; m4u debugfs","MTK_M4U_ioctl; ALLOC_MVA/DEALLOC_MVA/CONFIG_PORT/POWER/MONITOR/CONFIG_TF; copy_from_user/copy_to_user","proc_create mode 0; debugfs controls mode 0600; active node/domain mapping unresolved","No source client; no runtime operation","DMA/IOMMU/memory-isolation and power state theoretical impact","source-only/access unknown",6351de00903a282ba682427095a155794efd8221f253ff11a0f74ed7c5cb86c6
3,OEM-MediaTek,MDP executor,"platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/mdp/mdp_ioctl_ex.c:332-405,602-729","via /dev/mtk_cmdq","mdp_ioctl_async_exec; CMDQ_MOP_WRITE/WRITE_SEC/READ; user metadata copy","Inherited CMDQ boundary; no local capable() proof; SELinux/client absent","No userspace caller established","Display/register/hardware availability; no framework/package edge","source capability only",665aacbd47eb99f3a5e38f0447c75881c04827f24cf60c9baa7606e6dd1d52c1
4,OEM-MediaTek,Performance ioctl,"platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/performance/perf_ioctl/perf_ioctl.c:69-203,231-232","/proc/perfmgr/perf_ioctl","device_ioctl; FPSGO commands; read/write/unlocked_ioctl/compat_ioctl","proc mode 0664; no local capable(); owner/group write only at source; SELinux/domain unknown","No client established","Scheduling/performance/resource state; no package/settings sink","writable source surface; reachability unknown",df846d7463d14af07fa98bb0a26d389c1a5e41a46b58763327c9d47a2aa3ff09
5,OEM-MediaTek,Accelerometer factory,"platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/sensors-1.0/accelerometer/accel_factory.c:35-168,202-227","/dev/gsensor","acc_factory_unlocked_ioctl; GSENSOR_IOCTL_SET_CALI/CLR_CALI/ENABLE_CALI","misc node mode unspecified; no capable() in inspected path; ueventd/SELinux absent","No source client","Calibration/device behavior only","conditional factory surface",b00912925e4b053f7d80e25ee01b40a70e2eccd6f6eb3db6ea7d398ff32601c1
6,OEM-MediaTek,GED,"platform/kernel/mediatek/mt8183/4.4/drivers/misc/mediatek/gpu/ged/src/ged_main.c:340-344,411","/proc/ged","ged_read/ged_write; ged_ioctl/ged_ioctl_compat; user copies","source mode 0644; saved runtime caller is UID 2000 shell, enforcing u:r:shell:s0; no local UID gate","Saved shell query telemetry only; no ordinary-app caller","Read-only telemetry; higher-impact bridge not exercised; no package/HOME edge","confirmed shell telemetry only",95671972e22b12d0f6301c28750ebc28e371e02a75610ff62a94a90953fa30c5
7,OEM-MediaTek,ION,"platform/kernel/mediatek/mt8183/4.4/drivers/staging/android/ion/ion.c:1502-1658,1906-1956; ion/mtk/ion_drv.c:428-492,703-736","/dev/ion; debugfs ion/{heaps,clients}","ion_ioctl/compat_ion_ioctl; custom_ioctl; alloc/free/map/share/import/sync; debugfs read/write files","saved metadata mode 0666 owner system:graphics label ion_device; extracted policy allow is not runtime proof; debugfs source 0664/0644","bounded 307 APK/JAR scan found no direct client markers; no open/ioctl","Memory/DMA state theoretical impact; no package/settings edge","source+metadata; client/effect unknown",abac518864faed94439d75d204e8c16ea75cf3a74c93ee50e128e0f6928a6d63
8,OEM-MediaTek,RPMB,"platform/kernel/mediatek/mt8183/4.4/drivers/char/rpmb/rpmb-mtk.c:2377-2401,2560-2582,2736-2776","MTK RPMB char device; exact node policy unresolved","rpmb_ioctl; authenticated read/write/key-related user copies; .read/.write NULL","device_create mode/label and TE mapping not in saved PS7331 join; rpmb_svc exists in device properties","No source-to-rpmb_svc client closure; no operation","Persistent authenticated storage; boot/policy state theoretical impact","source-only/service unknown",a6b070190ad8b97173c129509e6d8f8ae8c9f0d383bc349be44d9c919387c8d5
9,OEM-Amazon,Amazon lifecycle,"platform/device/amazon/kernel/driver/amzn_sign_of_life.c:255-265,277-370","/proc/life_cycle_reason","seq read only; exported write_boot_reason/write_shutdown_reason/write_special_mode are kernel APIs","proc mode 0444; no userspace write callback; CONFIG_AMZN_SIGN_OF_LIFE=y","No userspace write client","Kernel-originated boot/shutdown/special reason only; no direct package sink","read-only bounded negative",87e455617e0960658bade537a316c5168a47048db1f2e72922b3e38129449419
10,OEM-Amazon,Amazon IDME,"platform/device/amazon/kernel/driver/amzn_idme.c:62-71,319-351","/proc/idme/<field>","idme_fops read/seq; no write fop","write bits masked; mac_sec forces 0400 and uid 1000; SELinux read policy not fully joined","No write client; read confidentiality caller unresolved","Product/calibration identity disclosure only","read-only bounded negative",ab6484ae7a694412ec4eeabb67133ddd0c0af221076b6d989c8ab1fe7c84e61e
11,OEM-Amazon,Amazon logger,"platform/device/amazon/kernel/driver/amzn_logger.c:698-738","Amazon logger misc device; node name/policy not preserved","amazon_logger_read; misc_register; no write fop observed","CONFIG_AMZN_METRICS_LOG=y and CONFIG_AMZN_MINERVA_METRICS_LOG=y; final mode/label unknown","No direct client established","Metrics/logging state; no package/settings sink","read-only/source boundary",9293b2f75e8e7760f961d5849b3fe3e666e8e2df0b2906b6fcdf4b2190d7afbd
12,OEM-Amazon,Amazon driver test,"platform/device/amazon/kernel/driver/amzn_drv_test.c:747-812","/proc/amzn_drvs/{sign_of_life,idme,logger}","proc_write; decimal test index; shared read/write fops; index 21 factory reset mode, 23 RTC special mode","source requests 0644; no capable(); trona_defconfig lacks CONFIG_AMZN_DRV_TEST=y/m; final object/SELinux unknown","No userspace client; production reachability conditional","Factory-reset/RTC/boot-state impact if built and authorized","high-impact conditional source path",6c2309f996cacafaab35cce3935bcb725a5259211751af89df88d3732797029e
13,OEM-Amazon,Amazon liquid detection,"platform/kernel/mediatek/mt8183/4.4/drivers/staging/amazon/amzn_ld.c:638-711,737-786","odm:ld sysfs attrs; module parameters","store_stop_detection/store_ctrl_mode/store_threshold_l/store_threshold_h/store_sleep_interval","source attrs 0664; saved shell audit saw no user attrs and denied module parameters; no write performed","No client; shell path bounded negative","Liquid/thermal/USB behavior; no package/boot writer","bounded negative for saved shell path",4ef656e1a4e54bce29c6f54d62478b5b68dd093abe2641b85ee15feb1f30d1bc
14,OEM-Amazon,Amazon key combo,"platform/device/amazon/kernel/driver/amzn_keycombo.c:116-158,184-300","DT-configured input combo; no proc/sysfs/ioctl node","input event handler; panic/poweroff/sign-of-life kernel actions","No userspace control node; DT/input policy and event source are kernel-side","No ordinary userspace client","Potential reboot/poweroff on physical/key event; not app privilege surface","kernel event path; source-only",09e19712f177e0740a96964f420f74adda3412442b65d6df5cec8187e38e6071
15,generic-upstream,evdev,"platform/kernel/mediatek/mt8183/4.4/drivers/input/evdev.c:840-892,1324-1331","/dev/input/event* (generic)","evdev_read/evdev_write; evdev_ioctl/compat; input event user copies","CONFIG_INPUT_EVDEV=y; node labels/modes not in PS7331 join; generic upstream","No preserved ordinary-app client or state effect","Input injection/device state theoretical; no package/HOME edge","generic source-only",7664e11a712c24b906da6cbf3504c96e00a6b3ca7d64e5b286a345141ada2d28
16,generic-upstream,USB devio,"platform/kernel/mediatek/mt8183/4.4/drivers/usb/core/devio.c:976-1112,1628-1650,2396-2398","USB device nodes (generic)","usbdev_ioctl/compat; control/bulk/URB user copies","USB config selected; node/SELinux/client mapping absent","No preserved client or runtime USB ioctl","USB/device state theoretical; no package/settings/boot edge","generic source-only",655a3f79b2230031e0f2dfef4fbb699d832db9054debf47fd5186acec0af2768
