evidence_id,layer,artifact_status,edge_or_capability,exact_locator,observation,classification,remaining_unknown,version_or_safety_boundary
6SP-001,firmware manifest,shipped adjacent OTA,package provenance,firmware/manifests/OTA-20260803-01/README.md:18-30;46-48;sha256sums.txt:1,Original official PS7331 package is hashed and explicitly VERSION_MISMATCH against installed PS7330/7.3.3.0,CONFIRMED,Exact PS7330 OTA equivalence not established,No flashing or package execution
6SP-002,Java OTA,source/decompilation only,hash -> recovery verifier -> property validation,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/device/software/ota/tasks/validate/OSUpdateValidator.java:73-78;RecoverySystemWrapper.java:21-23,Java validator calls wrapper and wrapper calls android.os.RecoverySystem.verifyPackage,CONFIRMED,Platform verifier implementation and caller identity unavailable,PS7331 adjacent source only
6SP-003,Java OTA,source/decompilation only,sideload metadata/sanity -> verifier,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/dcp/ota/SideloadVerifier.java:31-48;55-59,Recovery verification follows metadata/sanity checks,CONFIRMED,Native handoff unresolved,No sideload or recovery execution
6SP-004,Java OTA,source/decompilation only,verified sideload -> move -> install,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/dcp/ota/SideloadInstaller.java:65-84,Installer calls verifySideloadWithoutRecoveryCheck then mover and UpdateSystemWrapper.install; integrity path is separate at :87-95,CONFIRMED,Production external caller not closed,Method name is not bypass evidence
6SP-005,Java staging,source/decompilation only,path construction,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/dcp/ota/SideloadMover.java:31-44,Destination is OTA external-data directory plus input basename then FileHelper.moveFile,OBSERVED-CAPABILITY,canonicalPath/NOFOLLOW/race/native semantics UNKNOWN,No traversal test
6SP-006,Java handoff,source/decompilation only,wrapper -> native install,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/device/framework/UpdateSystemWrapper.java:33-44,Path remap and screen-state setting precede UpdateSystem.install,CONFIRMED,Native recovery caller and identity unresolved,No UpdateSystem.install execution
6SP-007,native parser,shipped artifact,main -> registration,firmware/extracted/PS7331/META-INF/com/google/android/update-binary:0x400cac;0x400cb0;Phase6MD path-write-call-edges.csv,main calls RegisterInstallFunctions and RegisterBlockImageFunctions,OBSERVED-CAPABILITY,Exact runtime entry arguments not observed,ELF never executed
6SP-008,native dispatch,shipped artifact,registration -> common registry,firmware/extracted/PS7331/META-INF/com/google/android/update-binary:0x4069cc;0x40d0fc;0x41d528,RegisterInstallFunctions/RegisterBlockImageFunctions call RegisterFunction; block-image five-name pointer mapping resolved in Phase6MM,OBSERVED-CAPABILITY,Indirect command invocation and unselected function pointers UNKNOWN,No crafted Edify input
6SP-009,native extraction,shipped artifact,PackageExtractFileFn -> ota_open/extract,Phase6MD path-write-call-edges.csv:0x4021b4->0x426338;0x4022cc;0x40238c;0x426354->0x4cc170,Package extraction reaches ota_open and open plus extraction helpers,OBSERVED-CAPABILITY,Archive-entry canonicalization and runtime path policy unresolved,No archive execution
6SP-010,native block image,shipped artifact,block_image_update -> PerformBlockImageUpdate -> VerifyBlocks,Phase6MD relevant-call-edges.csv:0x409340;0x40d474;Phase6MM selected-functions.csv,Open/update and verification edges are present; registry is indirect,OBSERVED-CAPABILITY,Full CFG and argument/order closure incomplete,No updater or recovery execution
6SP-011,native partition write,shipped artifact,WriteToPartition -> ota_open/ota_write -> write,Phase6MD path-write-call-edges.csv:WriteToPartition 0x413dcc-0x4142f0;ota_write 0x426e44->0x4d4a10,Direct write-wrapper and libc write edges confirm privileged partition-write capability,OBSERVED-CAPABILITY,Runtime target/identity not observed,partition_written=false
