row_id,scope,registration,caller,sender_or_input,gate,identity,user_scope,sink,reachability,confidence,evidence,next_safe_step
6RG-01,Amazon PM metadata,"amazonpackagemanager_fosinit.xml:9-10; fosservices/disassembly.log:95991-96026; IAmazonPackageManager tx1/2","production caller not found; generated Stub/Proxy only","package lists; metadata/flag values; explicit user argument","amazon.permission.ADD_RM_PKG_METADATA check; exact caller UID unresolved","no clearCallingIdentity shown in bounded setter","explicit user parameter; cross-user acceptance unresolved","AmazonApplicationFlags metadata/flags persistence; first PM/HOME/component consumer not found","STATIC_SINK_CONFIRMED_CALLER_UNKNOWN",MEDIUM,"work/luna_worker_phase6qe_ipc_caller_closure_20260810.csv QE-01; artifacts/phase6ay/launcher-state-services-20260805-02/launcher-state-service-methods.csv:22-25","Trace persistence and first consumers host-only; do not invoke private Binder"
6RG-02,Amazon PM proxy receiver,"amazonpackagemanager_fosinit.xml:9-10; fosservices/disassembly.log:95943-97986; IAmazonPackageManager tx6","no production caller found; Phase6IP test caller excluded","Intent plus PendingIntent","creator package must resolve and have ApplicationInfo.FLAG_SYSTEM; new action requires receiver query","creator package/UID used directly; no clearCallingIdentity","registration is not inherently cross-user; exact receiver user unresolved","mOnTheFlyRegisteredIntents -> Context.registerReceiver -> PendingIntent.send","STATIC_IMPLEMENTATION_CONFIRMED_PRODUCTION_CALLER_UNKNOWN",MEDIUM,"work/luna_worker_phase6qe_ipc_caller_closure_20260810.csv QE-02","Inspect only offline system-created PendingIntent provenance; no payload synthesis or replay"
6RG-03,Amazon PM proxy receiver,"amazonpackagemanager_fosinit.xml:9-10; fosservices/disassembly.log:95877-95888; IAmazonPackageManager tx7","no production caller found","Intent/action and stored PendingIntent","stored creator UID must equal Binder.getCallingUid; map ownership gate","direct Binder.getCallingUid; no identity normalization","map key/action scope; user mapping unresolved","map removal and possible Context.unregisterReceiver; no PM/HOME sink shown","STATIC_OWNERSHIP_GATE_CONFIRMED",HIGH,"work/luna_worker_phase6qe_ipc_caller_closure_20260810.csv QE-03","Map legitimate registration ownership offline; do not replay tx7"
6RG-04,Amazon User Manager KFT,"amazonusermanagerservice publication fosservices/disassembly.log:55106-55118; BinderService.enableKftLauncher; artifacts/phase6ay/launcher-state-service-methods.csv:4,8-9","AmazonUserManagerImpl.createChildUser -> IAmazonUserManager.enableKftLauncher is the only preserved caller","UserInfo; child-user creation result","child/profile and device-mode/component existence gates; complete method-local authorization unresolved","clearCallingIdentity before DPM/profile-owner and component/package writes","intended child/profile user; User-0/User-10 acceptance not closed","setComponentEnabledSetting/setApplicationEnabledSetting for Fire/Tahoe/Launcher3; DPM profile-owner flow","TRUSTED_CLIENT_ONLY_REACHABILITY_UNKNOWN",HIGH,"artifacts/phase6ak/launcher-user-service-20260805-02/launcher-user-service.csv:6-8; artifacts/phase6ay/launcher-state-services-20260805-02/launcher-state-service-methods.csv:29-34; output/tables/phase6da-current-user0-dpm-kft.csv","Complete offline caller aliases and child-user gates; no child mutation or private Binder call"
6RG-05,Amazon User Manager setup state,"AmazonUserManagerService publication fosservices/disassembly.log:55106-55118; setUserSetupComplete at fosservices/disassembly.log:54524-54566","ordinary APK caller not identified in source; existing saved evidence records an ordinary tx4 path","UserInfo.id and setup boolean","bounded entry gate not recovered; transaction interface token only in available slice","clearCallingIdentity around Settings writes; restore paths present","explicit UserInfo.id; cross-user settings effect statically present","Settings.Secure user_setup_complete and tv_user_setup_complete","STATIC_SETTINGS_DEPUTY_CONFIRMED_CALLER_SCOPE_PARTIAL",HIGH,"work/luna_worker_phase6qe_ipc_caller_closure_20260810.csv QE-05; artifacts/phase6ay/launcher-state-services-20260805-02/launcher-state-service-methods.csv:38","Document caller/permission provenance from offline artifacts; do not repeat settings mutation"
6RG-06,Amazon Profile Service initiateLauncher,"AmazonProfileService.BinderService publication fosservices/disassembly.log:80813-80823; method fosservices/disassembly.log:76246-76256,78949-78966","AmazonProfileManager/framework client; external caller unknown","initiateLauncher transaction; no user payload recovered in bounded method","enforceProfileInteractionPermissions / com.amazon.device.permission.PROFILE_INTERACTION","no relevant identity relay to PM/HOME sink","profile interaction scope; exact target user unresolved","profile/launcher acknowledgement and internal flow; no preferred activity/package setter","PERMISSION_GATED_CALLER_UNKNOWN",HIGH,"artifacts/phase6ak/launcher-user-service-20260508-02/amazon-profile-methods.txt; artifacts/phase6ak/launcher-user-service-20260805-02/launcher-user-service.csv:10; work/luna_worker_phase6qe_ipc_caller_closure_20260810.csv QE-08","Trace registration and returned component/user arguments offline"
6RG-07,Amazon Profile Service startProfilePicker,"AmazonProfileService.BinderService publication fosservices/disassembly.log:80813-80823; startProfilePicker fosservices/disassembly.log:77222-77280","ordinary APK reachability observed in saved evidence; exact production caller unresolved","picker component and user argument","downstream startActivityAsUser requires INTERACT_ACROSS_USERS; method-local marker unresolved","no clearCallingIdentity shown","configured picker user; exact caller/target user provenance unresolved","configured picker activity start; no HOME/PMS writer found","PARTIAL_ORDINARY_REACHABILITY_DOWNSTREAM_BLOCKED",HIGH,"output/tables/phase6er-profile-metadata-tx41.csv 6ER-TX41-001; work/luna_worker_phase6qe_ipc_caller_closure_20260810.csv QE-09","Resolve manifest and user-argument provenance host-only; do not start picker"
6RG-08,Amazon DPM restriction,"AmazonDevicePolicyManagerService BinderService publication fosservices/disassembly.log:46146-46156; tx1/2 bounded path fosservices/disassembly.log:45935-46108","framework DPM/policy caller expected; ordinary caller not identified","restriction name/value and explicit user","MANAGE_USERS/Amazon policy branch plus active-admin/owner checks","clearCallingIdentity around UserManager.setUserRestriction","explicit policy user; cross-user authorization depends on active admin/owner","UserManager.setUserRestriction; no PM/HOME sink","POLICY_SINK_CONFIRMED_ORDINARY_CALLER_UNKNOWN",HIGH,"work/luna_worker_phase6qe_ipc_caller_closure_20260810.csv QE-06; work/luna_worker_parent_profile_dpm_sink_closure_20260810.md","Map remaining policy branches offline; do not provision owner or mutate restrictions"
6RG-09,Amazon Activity Manager observer,"AmazonActivityManagerService publication fosservices/disassembly.log:39808-40958; observer methods 40374-40564","observer registration/consumer caller unknown","IAmazonActivitySwitchObserver and ComponentName callback","registerActivitySwitchObserver requires com.amazon.permission.ACTIVITY_SWITCH_WATCHER","callback dispatch body has no clearCallingIdentity-to-HOME writer","callback carries component only; user attribution unresolved","RemoteCallbackList observer notification; onActivityResume state/message update","CALLER_TO_HOME_SINK_UNKNOWN",HIGH,"artifacts/phase6ax/activity-manager-home-surface-20260805-01/activity-manager-binder-methods.csv:14,18; work/luna_worker_phase6qe_ipc_caller_closure_20260810.csv QE-10","Trace offline observer registrations/consumers; do not trigger activity transitions"
6RG-10,SettingsProvider generic write path,"decompiled/jadx/settings-provider/sources/com/android/providers/settings/SettingsProvider.java:344-418,429-431,676-690,957-1010","content-provider caller is generic; exact Amazon/SystemUI/OOBE caller not established","URI, setting name/value, optional user encoded in URI","WRITE_SECURE_SETTINGS for secure writes; INTERACT_ACROSS_USERS for differing URI user; AppOps/restricted-setting checks","Binder.getCallingUid/user used before writes; selected internal paths clear identity","calling user by default; explicit cross-user URI requires permission","global/secure/system SettingsState persistence","STATIC_GENERIC_SINK_CALLER_AND_AWS_PROVENANCE_UNKNOWN",HIGH,"decompiled/jadx/settings-provider/sources/com/android/providers/settings/SettingsProvider.java:414-431,676-690,979-1010; output/tables/phase6ef-settings-provider-boundary.csv","Map only offline framework/Amazon caller provenance and setting names; no provider mutation"
