id,surface,source,shipped_artifact,node_or_entry,policy,caller,gate,sink,effect,status,evidence_sha256,missing_edge
7C-001,CMDQ/MDP,"work/ps7331-kasan-source-20260810/drivers/misc/mediatek/cmdq/v3/cmdq_driver.c:660-700,864-898; mdp_ioctl_ex.c:332-405,602-729",CONFIG_MTK_CMDQ=y; CONFIG_MTK_CMDQ_TAB=y in trona_defconfig; boot Image hash retained; final object/DT binding not proven,/dev/mtk_cmdq; /proc/mtk_cmdq_debug/*; sysfs attrs; ioctl CMDQ_IOCTL_ASYNC_EXEC/WAIT/READBACK,UNKNOWN: no exact node label/mode file_contexts/TE allow tuple retained,UNKNOWN: no exact shipped ELF open/ioctl callsite; library markers are insufficient,CONFIG_MTK_CMDQ=y plus DT/platform match; final built-in/module/Image join UNKNOWN,cmdq_ioctl -> async job/readback -> MDP register/hardware path,Potential display/engine/resource control; no framework/package sink shown,UNKNOWN,b3a54d37b4e498ff969a2717cb02cefc923ae6f39da32f5fd8529fe3dce6e899,final object/module+DTB+ueventd/file_contexts/allow+native caller UID/domain
7C-002,M4U ioctl/proc,"work/ps7331-kasan-source-20260810/drivers/misc/mediatek/m4u/2.4/m4u.c:1577-1809,2220-2270",MT8183 source/config correspondence only; final proc instance not proven,"/proc/m4u; MTK_M4U_T_POWER_ON/OFF,ALLOC_MVA,CONFIG_PORT,MONITOR,CONFIG_TF",UNKNOWN: proc mode 0 is source literal; exact label/allow absent,UNKNOWN: no shipped native caller or UID/domain,driver source/DT/config gate; active misc /dev/m4u branch is #if 0,DMA/IOMMU mapping port/power/monitor/TF controls,Potential memory-isolation or device-state impact; no package/HOME/PMS sink,UNKNOWN,6351de00903a282ba682427095a155794efd8221f253ff11a0f74ed7c5cb86c6,compiled DTB+proc label/mode+TE allow+caller
7C-003,ION generic,"work/ps7331-kasan-source-20260810/drivers/staging/android/ion/ion.c:1502-1503,1657-1658,1906-1924",CONFIG_ION=y and CONFIG_MTK_ION=y in trona_defconfig; no final heap/object join,/dev/ion; alloc/free/map/share/import/sync/custom ioctl,UNKNOWN: node mode/label and allow not joined,UNKNOWN: no exact gralloc/codec/native open/ioctl caller or UID/domain,CONFIG_ION=y; CONFIG_ION_TEST absent; final heap enablement unknown,buffer allocation/import/custom ioctl -> DMA/buffer state,Potential buffer/DMA exposure; no framework package-state sink proven,UNKNOWN,abac518864faed94439d75d204e8c16ea75cf3a74c93ee50e128e0f6928a6d63,final heap/object+node policy+SELinux allow+caller
7C-004,ION MediaTek custom,"work/ps7331-kasan-source-20260810/drivers/staging/android/ion/mtk/ion_drv.c:319-435,612,765",CONFIG_MTK_ION=y; Image/config correspondence only; physical/secure heap selection unknown,/dev/ion custom ioctl; ion_device_create; secure/physical-address paths,UNKNOWN: node/type/allow absent,UNKNOWN: no exact shipped custom ioctl caller or UID/domain,CONFIG_MTK_ION=y; heap and platform registration not fully joined,custom system/physical-address/secure-memory controls,Potential physical-address/secure-buffer state; no package/HOME effect shown,UNKNOWN,eb7fbf99acbc492d99d60c98fc62a67fe7350160c6e91dc033781d5bcd986411,heap enablement+final node policy+caller
7C-005,MediaTek performance ioctl,"work/ps7331-kasan-source-20260810/drivers/misc/mediatek/performance/perf_ioctl/perf_ioctl.c:69-203,231-232",CONFIG/perf source correspondence; no final proc registration proof,/proc/perfmgr/perf_ioctl; FPSGO_* write/ioctl/compat_ioctl,UNKNOWN: source mode 0664 lacks final owner/label/TE allow,UNKNOWN: no exact shipped native writer or UID/domain,driver Kconfig and proc registration; product caller gate unknown,performance/governor/touch-boost scheduling controls,Authorized writer could alter performance/resource state; no package sink,UNKNOWN,df846d7463d14af07fa98bb0a26d389c1a5e41a46b58763327c9d47a2aa3ff09,final proc owner/group+file_contexts/allow+caller
7C-006,AUXADC ioctl/sysfs,"work/ps7331-kasan-source-20260810/drivers/misc/mediatek/auxadc/mtk_auxadc.c:553-667,1515-1651",CONFIG_MTK_AUXADC_INTF=y; boot Image contains AUXADC/store_AUXADC markers; final module/DT not proven,AUXADC ioctl/compat_ioctl; writable dump/status/calibration attributes,UNKNOWN: exact sysfs/node label mode and TE allow absent,UNKNOWN: no exact shipped native open/ioctl or sysfs writer; UID/domain unknown,CONFIG_MTK_AUXADC_INTF=y plus selected platform driver,ADC/register diagnostic/calibration read/write paths,Hardware/diagnostic state effect possible; no package/HOME effect,UNKNOWN,5ffbce942417fc6aca773d90e4c6935f508087f9a80d96138a7ecc30561ed327,final object/DT+sysfs label/mode+allow+caller
7C-007,PMIC debugfs/sysfs,work/ps7331-kasan-source-20260810/drivers/misc/mediatek/pmic/common/upmu_debugfs.c:323-351,PMIC config/source present; no final debugfs registration/mount proof,mtk_pmic debugfs/sysfs entries including dump_pmic_reg,UNKNOWN: debugfs type/mode/mount and file_contexts/TE allow absent,UNKNOWN: no shipped debugfs writer or UID/domain,PMIC debug feature/Kconfig gate unresolved,writable PMIC register dump/debug controls,Potential PMIC register/debug state effect; no package/HOME sink,UNKNOWN,db8dfc551225586a717af6cc96057b8d810548cf123bd555cfb5d5698b5ec092,final registration+mount+policy+caller
7C-008,uinput,work/ps7331-kasan-source-20260810/drivers/input/misc/uinput.c:909-933,CONFIG_INPUT_UINPUT=y in trona_defconfig; boot Image final object join not proven,/dev/uinput; UI_DEV_CREATE/DESTROY; event writes; ioctl/compat_ioctl,UNKNOWN: node mode/label and allow absent,UNKNOWN: no exact shipped ELF open/write/ioctl caller or UID/domain,CONFIG_INPUT_UINPUT=y; final node creation and caller gate unknown,synthetic input device/event injection,Input graph and downstream user-facing state may be affected; no package/HOME sink,UNKNOWN,98b41492311d9b9fb9ccbfe269a2fddc0fb436f3048b7887e1f6e5482d36211a,final node+SELinux+caller
7C-009,Amazon liquid-detection sysfs,"work/ps7331-kasan-source-20260810/drivers/staging/amazon/amzn_ld.c:638-711,737-786",CONFIG_AMAZON_LD=y and CONFIG_AMAZON_LD_SWITCH=y in trona_defconfig; no final DT/object/node join,conditional liquid-detection sysfs attrs/module parameters; writable 0664 source attrs,UNKNOWN: exact sysfs label/allow and owner/group absent,UNKNOWN: no exact shipped native sysfs writer or UID/domain,CONFIG_AMAZON_LD=y plus DT compatible/driver registration; DT selection unknown,stop/control/threshold/interval/ADC controls,Potential liquid-detection/device behavior change; no framework/package sink shown,UNKNOWN,4ef656e1a4e54bce29c6f54d62478b5b68dd093abe2641b85ee15feb1f30d1bc,compiled DTB+sysfs policy+caller
7C-010,Amazon driver test proc,firmware/extracted/PS7331-SOURCE-20250617/platform/device/amazon/kernel/driver/amzn_drv_test.c:747-812; phase6nb evidence,trona_defconfig lacks CONFIG_AMZN_DRV_TEST=y/m; Image marker audit lacks test markers; source Kconfig default n,"/proc/amzn_drvs/{sign_of_life,idme,logger}; proc_write decimal test_index",UNKNOWN: proc label/init import/TE allow absent,UNKNOWN: no exact open/write caller or UID/domain,CONFIG_AMZN_DRV_TEST default n and dependency chain; conditional only,test dispatcher can write factory-reset/RTC special-mode state if built,High-impact factory state is source-capable but not shipped-confirmed; no low-privilege route proven,UNKNOWN,6c2309f996cacafaab35cce3935bcb725a5259211751af89df88d3732797029e,product config/object/module+proc label+allow+caller
7C-011,Thermal writable sysfs,"work/ps7331-kasan-source-20260810/drivers/thermal/thermal_core.c:1672-1753,1772-1909",CONFIG_THERMAL=y and CONFIG_THERMAL_WRITABLE_TRIPS=y in trona_defconfig; final zones/DT not proven,"/sys/class/thermal/thermal_zone*/{mode,trip_point_*_temp,emul_temp,policy}; writable trip/emulation attrs",UNKNOWN: sysfs labels/allow and provider-specific mode absent,UNKNOWN: no exact shipped writer or UID/domain,CONFIG_THERMAL_WRITABLE_TRIPS=y plus DT thermal zones/provider,thermal trip/emulation/governor controls,Potential thermal/power/availability effect; no package/HOME sink established,UNKNOWN,3cb614b7c82c9f933e0dd436702b1f7e29d03307b3a1758d860b1b082897caf9,compiled DTB+zone provider+sysfs policy+caller
7C-012,Input evdev,"work/ps7331-kasan-source-20260810/drivers/input/evdev.c:840-892,1329-1331",CONFIG_INPUT_EVDEV=y; boot Image provenance retained; final node mapping not proven,/dev/input/event*; evdev ioctl/read/write path,UNKNOWN: node mode/file_contexts/TE allow absent,UNKNOWN: no exact ordinary-app or native event caller and UID/domain,CONFIG_INPUT_EVDEV=y plus selected input devices,Input events/state consumed by user-facing components,Potential user-facing input-state effect; no direct package/HOME sink,UNKNOWN,7664e11a712c24b906da6cbf3504c96e00a6b3ca7d64e5b286a345141ada2d28,final input node policy+caller
7C-013,USB devio,"work/ps7331-kasan-source-20260810/drivers/usb/core/devio.c:976-1112,1628-1650,2396-2398,2449",CONFIG_USB=y; XHCI/MTK/USB config enabled in trona_defconfig; final USB node/policy not joined,USB devio ioctl/URB submission/control-transfer entry,UNKNOWN: usbfs device node label/allow absent,UNKNOWN: no preserved USB ioctl/URB caller or UID/domain,CONFIG_USB=y + selected host/controller drivers,USB/device hardware and control-transfer state,Potential USB peripheral/hardware state effect; no framework/package sink shown,UNKNOWN,655a3f79b2230031e0f2dfef4fbb699d832db9054debf47fd5186acec0af2768,final usbfs node policy+caller
7C-014,RPMB char ABI,"work/ps7331-kasan-source-20260810/drivers/char/rpmb/rpmb-mtk.c:2377-2401,2560-2582,2736-2776",Source/config correspondence only; no final built-in/module/object or Image promotion proof,RPMB char device; unlocked_ioctl; .read/.write NULL,UNKNOWN: node mode/file_contexts/allow/capable tuple absent,UNKNOWN: rpmb_svc/name evidence does not identify exact shipped open+ioctl caller or UID/domain,RPMB/MMC configuration and registration; final object gate unknown,authenticated persistent-storage ioctl/state,Potential authenticated storage mutation; low-privilege reachability and package/HOME effect unproven,UNKNOWN,a6b070190ad8b97173c129509e6d8f8ae8c9f0d383bc349be44d9c919387c8d5,final object+node policy+capability+caller
7C-015,Amazon DSP debugfs,work/ps7331-kasan-source-20260810/drivers/staging/amazon/dspframework/src/adf_debug.c:245-261,Amazon DSP source/build catalogue; final object and debugfs mount not proven,debugfs /adf_dbg_fs/*; debugfs_create_file callbacks,UNKNOWN: debugfs mount/owner/type and SELinux allow absent,UNKNOWN: no shipped debugfs writer or UID/domain,DSP framework Kconfig/module gate unresolved,DSP debug/control file callbacks,Potential DSP diagnostic/control state; no package/HOME/PMS sink,UNKNOWN,5831c6e7920f76e8bea94179cf4b0812ceee8b37a59e0a6b420928d2a24331ca,final hash+registration/mount+policy+caller
