surface,entrypoint,caller,permission_or_gate,binder_identity,user_scope,sink,observed_effect,evidence,confidence,missing_edge
AmazonUserManager/KFT,IAmazonUserManager tx3 enableKftLauncher(UserInfo),trusted KFT child lifecycle,private service plus lifecycle gate; exact local permission UNKNOWN,system-server caller; no identity clear before facade,supplied UserInfo.id; observed child User 10 not User 0,AmazonPackageManager setters to PMS tx90/tx92,Tahoe enabled and Fire/Launcher3 changed for child; no User-0 effect,phase-6bk and phase-6er findings,High,exact tx3 caller check and arbitrary UserInfo path
AmazonUserManager lookup,ServiceManager.getService amazonusermanagerservice,ordinary no-permission APK,handle lookup exposed; tx3 gate not implied,ordinary app UID remains caller,lookup User 0 context; tx3 target UNKNOWN,Binder handle and descriptor only,non-mutating descriptor query; no package or HOME effect,phase-6fh finding,High,tx3 authorization and parcel edge
AmazonPackageManager Binder,IAmazonPackageManager tx1-11,system-server or Amazon framework caller,ADD_RM_PKG_METADATA for metadata writers; query gates UNKNOWN,caller identity retained; no PMS identity laundering shown,per-user metadata args; cross-user validation UNKNOWN,metadata flags proxy and query methods,no HOME or enabled-state setter in private interface,phase-6ia and phase-6mx findings,High,complete caller inventory and user validation
AmazonPackageManager facade,setApplicationEnabledSetting and setComponentEnabledSetting,Amazon trusted caller such as KFT,ordinary PMS permission protected-package and cross-user gates,facade delegates to IPackageManager; identity laundering not established,KFT uses UserInfo.id; other caller scope UNKNOWN,PMS tx92 and tx90,only trusted child effect observed; no ordinary User-0 Fire write,phase-6ia and phase-6mh findings,High,all facade callers and per-caller PMS result
ProductPolicy,EnableDisableComponentAction.enableDisableComponent,system-server ProductPolicy callback,policy file and user-list input; no public ProductPolicy Binder,system-server in-process identity; clear identity UNKNOWN,policy-selected user list; exact validation UNKNOWN,AmazonPackageManager setters to PMS,policy component/package state; PS7331 policy has no Fire Launcher entry,phase-6ce finding and fosservices lines 293661-293770,High,policy provenance and runtime user list
OOBE AppAdapter,AppAdapterHandler.goToRegistration,Amazon OOBE lifecycle callback,OOBE provenance; no exported caller path shown,vendor or system callback identity; clear/restore UNKNOWN,numeric user UNKNOWN; system context likely system user,PackageManager.setComponentEnabledSetting to com.amazon.tv.oobe RegistrationActivity,registration component enabled; no Fire or HOME effect,phase-6mh finding and phase-6ni artifact,Medium,runtime user mapping and callback reachability
Gemini,GeminiHandler.disableGeminiIfRequired,Alexa or settings observer,observer data-flow gate; permission and exported entrypoint UNKNOWN,caller identity and clear identity UNKNOWN,scope UNKNOWN; fixed package only,PackageManager.setApplicationEnabledSetting to Gemini,only Gemini app state; no Fire or HOME effect,phase-6mh writer CSV and fosservices lines 30322-30355,Medium,caller registration and user flow
Espresso boot receiver,EspressoShotCallback disable or re-enable boot receivers,Espresso or job framework callback,metadata and permission gated receiver map,system callback identity; clear identity UNKNOWN,receiver map user scope UNKNOWN,PackageManager.setComponentEnabledSetting,qualifying BOOT receiver state toggled; no HOME or Fire target,phase-6mh writer CSV,Medium,receiver metadata and numeric user scope
Shell PMS setter,PackageManagerShellCommand.runSetEnabledSetting,shell UID 2000,standard PMS protected-package and cross-user gate,shell identity reaches PMS; no bypassing clear identity,explicit --user; User 0 possible but protected gate remains,IPackageManager tx92 or tx90,standard shell path terminates at protected-package boundary; no Fire User-0 write,phase-6hp and phase-6mh findings,High,exact rejection text for this build
PMS enabled-state sink,PackageManagerService.setEnabledSetting,system_server internal dispatch,upstream caller-specific PMS checks; internal sink only,system_server local identity; upstream attribution required,userId argument; validation varies by caller,PMS enabled component or application state,persisted state only through authorized upstream callers; no new User-0 Fire writer,phase-6mh artifact CSV,High,per-callsite upstream gate for remaining internals
Preferred facade,AmazonPackageManagerImpl.replacePreferredActivity,Amazon framework facade caller,standard preferred-app permission and resolver gates; Amazon caller permission UNKNOWN,PMS identity retained unless caller-specific clear,facade user scope UNKNOWN,IPackageManager replacePreferredActivity to PMS,facade exists; no private Amazon HOME writer or observed User-0 Fire replacement,phase-6mw and phase-6ia findings,Medium,complete caller list and userId propagation
PMS preferred activity,PackageManagerService addPreferredActivityInternal or replacePreferredActivity,system app settings DPM or SET_PREFERRED_APPLICATIONS caller,checkCallingOrSelfPermission SET_PREFERRED_APPLICATIONS plus resolver gates,calling identity consulted; no blanket identity laundering,explicit userId or AsUser; cross-user detail varies,preferred activity records in PMS,ordinary app route not closed without permission; no Fire restoration observed,phase-6mw artifact,High,entrypoint to caller mapping
PMS HOME sink,IPackageManager.setHomeActivity tx89,PackageManager shell or system caller,framework permission and user or protected resolver checks; exact block partly unresolved,caller identity and system-only branch UNKNOWN,explicit userId; User 0 possible at sink but caller gate unresolved,PMS HOME preferred component state,Fire remains selected in saved User-0 runtime; no ordinary-app closed path,phase-6mw artifact and home-preferred finding,Medium,exact setHomeActivity permission and caller provenance
DPM persistent preferred,DevicePolicyManagerService addPersistentPreferredActivity,active Device or Profile Owner,active-admin and owner checks; wrapper permission UNKNOWN,DPM validates caller UID and admin; further identity UNKNOWN,calling profile owner scope with UserHandle markers,PMS persistent preferred activity,persistent HOME-capable record only for valid owner; no ordinary-app route,phase-6cq finding and phase-6mw artifact,High,exact DPM permission text and component constraints
Amazon DPM restriction,IAmazonDevicePolicyManager tx1 and tx2,ordinary app handle plus generic restriction path,Amazon keys require MANAGE_USERS; generic branch reaches DPM owner gate,caller UID checked downstream; clearCallingIdentity before UserManager branch,parcel userId; downstream owner and cross-user validation,UserManager or DPM restriction state only; no package or HOME sink,UNKNOWN,phase-6et and phase-6dp findings,High,exported component inventory for DPM callers
ProxyReceiver,IAmazonPackageManager tx6 and tx7,ordinary app obtains Binder but PendingIntent creator is untrusted,checkCallerIsSystemApp via creator FLAG_SYSTEM; no metadata permission on tx6/7,service checks creator identity; no laundering shown,creator and service context; cross-user UNKNOWN,internal receiver then PendingIntent.send if allowed,ordinary APK tx6 false and zero callbacks; no package or HOME sink,phase-6ip finding,High,other exported receiver or provider relays
LauncherHijackPreventer,system-server callbacks at ActivityStack AMS PackageManager PermissionManager,system-server callback fan-in; not app-exported Binder surface,system-server callback identity; clear identity UNKNOWN,package and user pairs for visibility and READ_LOGS; no HOME selector,visibility boolean plus READ_LOGS and fdrw bookkeeping,task and permission policy only; no direct Fire or HOME injection,UNKNOWN,phase-6am finding and launcherhijackpreventer fosinit,High,unpreserved native or overlay callback edges
Fire Launcher,com.amazon.firelauncher Launcher MAIN HOME DEFAULT activity,Android 9 runtime exported HOME activity; no bounded service receiver or provider writer,resolver user context; no Binder identity,UNKNOWN,HOME resolver User 0 runtime selected,PMS resolver to Fire Launcher activity,priority 50 candidate and selected; installed enabled not hidden or suspended,firelauncher manifest finding,High,complete exported component inventory
