root,file,package,type,name,exported,permission,read_permission,write_permission,protection_level,process,actions,home_marker
decompiled/jadx/firelauncher/resources/AndroidManifest.xml,decompiled/jadx/firelauncher/resources/AndroidManifest.xml,com.amazon.firelauncher,permission,com.amazon.firelauncher.permission.BADGING,,,,,normal,,,False
decompiled/jadx/firelauncher/resources/AndroidManifest.xml,decompiled/jadx/firelauncher/resources/AndroidManifest.xml,com.amazon.firelauncher,permission,com.amazon.firelauncher.permission.RECENCY,,,,,signature,,,False
decompiled/jadx/firelauncher/resources/AndroidManifest.xml,decompiled/jadx/firelauncher/resources/AndroidManifest.xml,com.amazon.firelauncher,permission,com.amazon.firelauncher.permission.WEBLAB_UPDATE,,,,,signature,,,False
decompiled/jadx/firelauncher/resources/AndroidManifest.xml,decompiled/jadx/firelauncher/resources/AndroidManifest.xml,com.amazon.firelauncher,permission,com.amazon.firelauncher.permission.RETRY_SYNC,,,,,signature,,,False
decompiled/jadx/firelauncher/resources/AndroidManifest.xml,decompiled/jadx/firelauncher/resources/AndroidManifest.xml,com.amazon.firelauncher,permission,com.amazon.firelauncher.permission.LAUNCH,,,,,signature,,,False
decompiled/jadx/firelauncher/resources/AndroidManifest.xml,decompiled/jadx/firelauncher/resources/AndroidManifest.xml,com.amazon.firelauncher,permission,com.amazon.firelauncher.permission.BROADCAST_ACTION,,,,,signature,,,False
decompiled/jadx/firelauncher/resources/AndroidManifest.xml,decompiled/jadx/firelauncher/resources/AndroidManifest.xml,com.amazon.firelauncher,permission,com.amazon.firelauncher.permission.TAB_SUPPRESSION_SETTINGS_OWNER,,,,,signature,,,False
decompiled/jadx/firelauncher/resources/AndroidManifest.xml,decompiled/jadx/firelauncher/resources/AndroidManifest.xml,com.amazon.firelauncher,permission,com.amazon.firelauncher.permission.TAB_SUPPRESSION_SETTINGS_USER,,,,,signature,,,False
decompiled/jadx/firelauncher/resources/AndroidManifest.xml,decompiled/jadx/firelauncher/resources/AndroidManifest.xml,com.amazon.firelauncher,permission,com.amazon.firecard.permission.BROADCAST_CHANNEL_VISIBILITY,,,,,signature,,,False
decompiled/jadx/firelauncher/resources/AndroidManifest.xml,decompiled/jadx/firelauncher/resources/AndroidManifest.xml,com.amazon.firelauncher,permission,com.amazon.firelauncher.DISABLE_TUTORIAL_EXTERNAL,,,,,signature,,,False
decompiled/jadx/firelauncher/resources/AndroidManifest.xml,decompiled/jadx/firelauncher/resources/AndroidManifest.xml,com.amazon.firelauncher,permission,com.amazon.firelauncher.permission.APP_WIDGET_UPDATE,,,,,signature,,,False
decompiled/jadx/firelauncher/resources/AndroidManifest.xml,decompiled/jadx/firelauncher/resources/AndroidManifest.xml,com.amazon.firelauncher,permission,com.amazon.firelauncher.permission.CHECK_FEATURE_SUPPORT,,,,,signature,,,False
decompiled/jadx/firelauncher/resources/AndroidManifest.xml,decompiled/jadx/firelauncher/resources/AndroidManifest.xml,com.amazon.firelauncher,permission,com.amazon.firelauncher.permission.SD_CARD_STATE_RECEIVER_BROADCAST_PERMISSION,,,,,signature,,,False
