service_name,service_impl_class,fosinit_registered,fosinit_files,published_name_evidence,runtime_service_list,service_context,service_context_source,service_context_line,shell_uid2000_find_denied,avc_tcontext,avc_source,avc_line,binder_inventory_auth_markers,binder_inventory_assessment,confidence
AdvertisingIdManagerService,UNMAPPED,UNKNOWN,,,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:advertisingidmanager_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,58,UNKNOWN,NOT_MAPPED_TO_VDEX_INVENTORY,STRONG_EVIDENCE
AmazonKeyguardService,UNMAPPED,UNKNOWN,,,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,NO_OR_NOT_OBSERVED,,,,UNKNOWN,NOT_MAPPED_TO_VDEX_INVENTORY,EVIDENCE_JOIN_PENDING
AmazonMoonlight,AmazonMoonlightService,NO_OR_DELEGATED,,AmazonMoonlight,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:amazon_moonlight_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,41,signature_or_privileged,candidate requires method-level review; missing markers are not a vulnerability,STRONG_EVIDENCE
AmazonMtpObserverService,AmazonMtpObserverService,NO_OR_DELEGATED,,AmazonMtpObserverService,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:amazonmtpobservermanager_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,40,AUTH_MARKER_NOT_OBSERVED,candidate requires method-level review; missing markers are not a vulnerability,STRONG_EVIDENCE
AmazonWifiService,UNMAPPED,UNKNOWN,,,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:amazon_wifi_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,47,UNKNOWN,NOT_MAPPED_TO_VDEX_INVENTORY,STRONG_EVIDENCE
DockObserver,UNMAPPED,UNKNOWN,,,YES,u:object_r:DockObserver_service:s0,artifacts/phase6c/phase6c-image-policy-extract-20260804-02/system/etc/selinux/plat_service_contexts,46,NO_OR_NOT_OBSERVED,,,,UNKNOWN,NOT_MAPPED_TO_VDEX_INVENTORY,EVIDENCE_JOIN_PENDING
FireOsDisplayPowerController,FireOsDisplayPowerControllerService,NO_OR_DELEGATED,,FireOsDisplayPowerController,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:FireOsDisplayPowerController:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,67,AUTH_MARKER_NOT_OBSERVED,candidate requires method-level review; missing markers are not a vulnerability,STRONG_EVIDENCE
FosHighResolutionBatteryLevelLog,HighResolutionBatteryLevelLogService,NO_OR_DELEGATED,,FosHighResolutionBatteryLevelLog,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,NO_OR_NOT_OBSERVED,,,,AUTH_MARKER_NOT_OBSERVED,candidate requires method-level review; missing markers are not a vulnerability,EVIDENCE_JOIN_PENDING
PackageRecencyFilterConfig,UNMAPPED,UNKNOWN,,,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,YES,u:object_r:packagerecencyfc_service:s0,artifacts/phase6j/phase6j-service-visibility-20260805-01/filtered_avc.matches.txt,66,UNKNOWN,NOT_MAPPED_TO_VDEX_INVENTORY,STRONG_EVIDENCE
SmartSuspend,UNMAPPED,UNKNOWN,,,YES,NOT_FOUND_IN_EXTRACTED_TEXT_CONTEXTS,,,NO_OR_NOT_OBSERVED,,,,UNKNOWN,NOT_MAPPED_TO_VDEX_INVENTORY,EVIDENCE_JOIN_PENDING
