test_id	PHASE5X-ROUTE-SURFACE-20260804-06
serial	G001LT0511550CFT
start_utc	2026-08-03T19:30:47Z
mode	read-only
device_state	0	2026-08-03T19:30:47Z
identity	0	2026-08-03T19:30:47Z
props	0	2026-08-03T19:30:47Z
processes	0	2026-08-03T19:30:47Z
packages	0	2026-08-03T19:30:47Z
services	0	2026-08-03T19:30:47Z
init_paths	0	2026-08-03T19:30:47Z
node_metadata	0	2026-08-03T19:30:47Z
aee_nodes	0	2026-08-03T19:30:47Z
aee_access	0	2026-08-03T19:30:47Z
apex_property	0	2026-08-03T19:30:47Z
apex_paths	1	2026-08-03T19:30:48Z
apex_help	20	2026-08-03T19:30:48Z
home	0	2026-08-03T19:30:48Z
end_utc	2026-08-03T19:30:48Z
