domain,surface,source_or_entry,caller_or_scope,authority_or_permission,identity_or_user_scope,sink_or_effect,status,next_safe_step,source_csv
amazon-package-manager-caller,tx6 registerProxyReceiver,"boot-fosframework/disassembly.log:58337; :403148-403190; Stub :403505-403530 (offsets 0x0a9cbc, 0x0aa15c); fosservices/disassembly.log:95943-95954; ProxyReceiver :97887-97986","PRODUCTION_CALLER=NOT_FOUND; generated Proxy/Stub excluded; Phase6IP ProxyReceiverGateProbeActivity.java:53-58,80-101 is TEST_ONLY and excluded; system-created PendingIntent provenance=NOT_FOUND/UNKNOWN","No Binder-local permission/direct caller-UID check. PendingIntent.getCreatorPackage() -> getApplicationInfo(package,128) -> ApplicationInfo.FLAG_SYSTEM; new action also requires queryBroadcastReceivers(...) size>0; duplicate action compares creator UIDs",No clearCallingIdentity/restoreCallingIdentity; creator package used directly,mOnTheFlyRegisteredIntents[action] -> Context.registerReceiver; later ProxyReceiver$1/ProxyIntentThread -> PendingIntent.send(); first package/HOME/system sink=NOT_FOUND,STATIC_IMPLEMENTATION_CONFIRMED; production caller and system-token provenance UNKNOWN; existing Phase6IP ordinary self-created tx6=false/receiver_hits=0,Inspect only newly supplied offline exact-build artifacts for legitimate system-created PendingIntent provenance and production callsite; do not synthesize or replay tx6,work/luna_worker_amazonpm_caller_inventory_20260810.csv
amazon-package-manager-caller,tx7 deregisterProxyReceiver,"boot-fosframework/disassembly.log:58322; :402937-402982; Stub :403487-403510 (offsets 0x0a9b38, 0x0aa100); fosservices/disassembly.log:95877-95888; ProxyReceiver :97828-97878","PRODUCTION_CALLER=NOT_FOUND; generated Proxy/Stub excluded; Phase6IP ProxyReceiverGateProbeActivity.java:59-61,103-124 is TEST_ONLY and excluded; system-created PendingIntent provenance=NOT_FOUND/UNKNOWN",No separate permission marker. Synchronized mOnTheFlyRegisteredIntents removal requires stored PendingIntent.getCreatorUid() == Binder.getCallingUid(); missing map/action/entry returns false,No clearCallingIdentity/restoreCallingIdentity; Binder.getCallingUid() used directly,Map/action-list removal; empty map -> Context.unregisterReceiver; first package/HOME/system sink=NOT_FOUND,STATIC_IMPLEMENTATION_CONFIRMED; caller-UID cleanup gate confirmed; production caller and system-token provenance UNKNOWN; existing Phase6IP tx7=false had no caller-owned entry,Inspect only newly supplied offline exact-build artifacts for legitimate registration provenance and ownership edges; do not guess parcels or replay tx7,work/luna_worker_amazonpm_caller_inventory_20260810.csv
vending-downstream,LauncherConfigurationReceiver,"onReceive/b(Intent) L27-L64,L64-L1ec,L1b7-L2a3; Java:43-369",manifest FIRST_SCREEN_ACTIVE_INSTALLS; sender UNKNOWN,"exported=true,no manifest permission; verificationToken; creator=current launcher OR Setup+ApplicationInfo+launcher qualification",PendingIntent creatorPackage checked; sender UID UNKNOWN; no identity clear recovered,"aoba.k(aoax,5,1) then aofc.y(collection,5); hotseat/widget/workspace/folder restore flags",CONFIRMED bounded restore/bookkeeping; no Fire/HOME/component setter,Decode exact DEX/smali for aoal.iy/aofc.y; no broadcast/PendingIntent construction,work/luna_worker_vending_downstream_closure_20260810.csv
vending-downstream,LauncherConfigurationReceiver,onReceive/L1ec-L2b5,same receiver; Intent item lists,setup flag and package/launcher qualification,user/profile binding UNKNOWN; Play restore account/state downstream,aoba map update and restore package selection,CONFIRMED no direct PackageManager enabled/HOME sink; downstream scope UNKNOWN,Recover aoba/aofc implementation and account/user binding host-only,work/luna_worker_vending_downstream_closure_20260810.csv
vending-downstream,DseService,mi(Intent); DseService:656-664,manifest IDseService.BIND; mph stub,exported=true; permission com.google.android.finsky.permission.DSE; DeviceSetup ahwm.i,permission/caller provenance UNKNOWN; bind does not alone establish trusted caller,returns mph binder or null,CONFIRMED gated exported service; normal permission is not bypass evidence,Recover exact mph dispatch/permission provenance; no bind/transact,work/luna_worker_vending_downstream_closure_20260810.csv
vending-downstream,DseService,o(); DseService:665-673,"mph.a/b/c/d; mph:24-31,611-736,1116-1150","arjs.z(uid,DeviceSetup auth ahwm.d); SecurityException on unauthorized package",Binder.getCallingUid mapped by authorization helper; no clearCallingIdentity observed,authorization before browser/search/install/eligibility APIs,CONFIRMED caller UID/package gate; external caller universe UNKNOWN,Map arjs config and all transactions host-only,work/luna_worker_vending_downstream_closure_20260810.csv
vending-downstream,DseService,"t(PackageManager,str,...); DseService:233-245",static caller aocc.java:35; f/g:272-484,o(); PackageManager validation,UserHandle.myUserId(); cross-user identity UNKNOWN,"setDefaultBrowserPackageNameAsUser(str,myUserId)",CONFIRMED browser-default only; not HOME/default launcher or Fire,Trace selected package and PMS validation host-only; do not relabel as HOME,work/luna_worker_vending_downstream_closure_20260810.csv
vending-downstream,DseService,f/g; DseService:272-484 (g duplicated-block warning),mph.c installApp and mph.d installDse; mph:675-736,"o(); v(1/2), DeviceSetup choice flags, package/selection checks",UID authorized before entry; account/user and injected target UNKNOWN,browser/DSE package install scheduling/cancel/bookkeeping; g may call uez.a(str),PARTIAL/UNKNOWN exact branch equivalence; no HOME/Fire writer observed,Recover exact smali g and injected install writer; no install invocation,work/luna_worker_vending_downstream_closure_20260810.csv
vending-downstream,DseService,"h(int,PendingIntent); DseService:487-526; mph:1116-1150",mph pageEligible/search path,o(); SDK/DeviceSetup eligibility and timeout,PendingIntent target identity UNKNOWN; explicit Setup Wizard selector,Context.startActivity(intent) search-selector UI,CONFIRMED activity sink; not HOME/Fire/root,Recover component/action and PendingIntent provenance host-only,work/luna_worker_vending_downstream_closure_20260810.csv
vending-downstream,DseService,j(); DseService:576-603,mph eligibility/page flow; exact static caller set UNKNOWN,o(); DeviceSetup eligibility flags,injected writer; secure key/user/profile/provider UNKNOWN,secure-settings eligibility writer,CONFIRMED secure-settings-class sink; HOME relation UNKNOWN; no HOME writer evidence,Recover injected writer and exact key host-only,work/luna_worker_vending_downstream_closure_20260810.csv
vending-downstream,DseService,"s(aobz,npg,String); DseService:699-736; C():100-130",mph installDse/installApp; exact caller package UNKNOWN,o(); package/account/feature and DSE install gates,account/current-user semantics injected UNKNOWN; no identity clear,"DSE install work, cancellation, and bookkeeping",CONFIRMED install bookkeeping; no Fire/HOME/root sink,Recover install manager and user/profile binding; do not invoke,work/luna_worker_vending_downstream_closure_20260810.csv
ps7331-residual-writer,OOBE/OTA sender: RWI-01,"fosservices/disassembly.log:96087-96126; boot-framework-disassembly.log:449212-449262,449576-449604,452691-452721",SystemServer AmazonPackageManagerService.onBootPhase,phase==550 and PMS.isUpgrade(); BOOT_AFTER_SYSTEM_OTA is protected/signature amazon action; no ordinary caller path,identity=system-server Context; no clearCallingIdentity relay shown; user_scope=context-derived broadcast user; exact numeric user unresolved,Context.sendBroadcast -> AMS broadcastIntent -> BootAfterSystemOTAReceiver,STATIC CONFIRMED / numeric-user UNKNOWN,Host-only trace ContextImpl user propagation and any saved natural-event provenance; no broadcast replay or OTA execution,work/luna_worker_ps7331_residual_writer_inventory_20260810.csv
