"record_id","record_type","surface","artifact_or_entry","caller","gate","identity_or_user_scope","sink","runtime_or_result","missing_edge","classification","confidence","evidence","next_safe_step"
"P20A-001","ipc","amazonusermanagerservice","AmazonUserManagerImpl -> IAmazonUserManager.Proxy -> Stub.onTransact -> AmazonUserManagerService.BinderService :: createChildUser role path -> enableKftLauncher(UserInfo) tx3","Exact static upstream is com.amazon.alta.h2shared.helpers.AndroidUserHelper.addAndroidUser; H2ClientService AIDL callers include signature-bound Amazon parental/Tahoe/SystemUI packages; executing package UID is not in host artifacts","H2 bind requires com.amazon.alta.h2clientservice.permission.BIND_SERVICE (signature|amazon); tx3 Stub enforces descriptor only; enableKftLauncher does not call checkManageUsersPermission in bounded slice","tx3 incoming identity remains active through tryEnableKftLauncherComponent and its AmazonPackageManager setters; clearCallingIdentity occurs only before empowerKftUser DPM work, then restore | UserInfo returned by createChildUser; KFT setters use UserInfo.id; child/profile scope is established, User 0 input is not","Tahoe component enabled and Fire/Launcher3 application state set for supplied child/profile user; no setHomeActivity/preferred HOME writer","No transaction or device execution; static only","Exact installed UID/signature grant and PMS acceptance for H2-originated tx3 remain absent; no proof of UserInfo.id=0","PARTIAL_CLOSURE_STATIC_CALLER_AND_IDENTITY_ORDER; LOW_PRIVILEGE_REACHABILITY_UNKNOWN; UNKNOWN is not a vulnerability","Hypothesis","decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log:369180-369243,370398-370443,370674-370777; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:54297-54478; artifacts/phase6pr-kft-tx3-authz-20260810-07/kft_tx3_summary.json; artifacts/phase6it-missing-system-apps-20260807-01-files/jadx/sources/com/amazon/alta/h2shared/helpers/AndroidUserHelper.java:78-109; artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/007_com.amazon.parentalcontrols__0_com.amazon.parentalcontrols.xmltree.txt:80-88; artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/033_com_amazon_tahoe.xmltree.txt:55-75","Offline join H2 package UID/signature and PMS cross-user/protected checks; do not dispatch tx3 or forge UserInfo"
"P20A-002","ipc","amazonprofileservice","AmazonProfileService.BinderService / IAmazonProfileService.Stub :: startProfilePicker(int) tx41 -> startProfilePickerActivity","Internal AmazonProfileService$21 handler is a proven same-process caller; external Proxy caller/package is not recovered","Bounded tx41 implementation has no method-local permission marker; Stub/onTransact contract and private service visibility remain gates; PROFILE_INTERACTION protects initiateLauncher, not this method","No clearCallingIdentity/restore in the bounded picker path; ActivityManager.getCurrentUser() is queried before Context.startActivityAsUser | Current system user selected by ActivityManager; tx41 int is wakeUpSource; no caller-supplied target user reaches the launch call","Configured picker package/activity launched with startActivityAsUser; bounded scan finds no PMS preferred-activity, HOME resolver, package or component-state setter","No picker start or Binder transaction; shell private-service lookup was previously denied","External caller package/UID/signature, configured component provenance/export gate and exact Binder onTransact method authorization remain unresolved","STATIC_CURRENT_USER_UI_SINK_NO_PMS_HOME; EXTERNAL_CALLER_UNKNOWN; UNKNOWN is not a vulnerability","Hypothesis","decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:74348-74352,77222-77280,80115-80444; artifacts/phase6mq-profile-launcher-helper-20260810-01/method-evidence.csv:6MQ-E04,6MQ-E05; artifacts/phase6ak/launcher-user-service-20260805-02/amazon-profile-methods.txt:17-30","Offline trace picker config, manifest and Stub transaction block; do not start picker or call tx41"
"P20A-003","ipc","amazonwindowmanager","AmazonWindowManagerPwmCallback / AmazonWindowManagerService.BinderService / IAmazonWindowManager.Stub :: onSetPipVisibility -> ServiceManager.getService(amazonwindowmanager) -> setPipVisibility(tx5); setOverscan(tx2)","PIP caller is concretely system_server PhoneWindowManager callback; AmazonWindowManagerImpl is a second framework client for the service; no ordinary app caller is evidenced","Amazon wrapper methods have no local permission marker in the bounded slice; downstream WMS permission exists on the separate WMS method; service-manager SELinux boundary blocks saved shell lookup","Pwm callback and Amazon wrapper show no clearCallingIdentity/restore; call executes with system_server/framework context; no caller identity is converted into PMS identity | No user/package argument; global display/PIP/window policy state","setPipVisibility writes mPipState; setOverscan delegates WindowManagerService.setOverscan; no HOME resolver, preferred activity or package-state sink","No method invocation; saved service lookup denied to shell","Complete external caller set and exact wrapper-to-WMS gate for setOverscan remain open, but PIP callback path is not an ordinary caller-to-HOME route","CALLER_CLOSED_FOR_SYSTEMSERVER_PIP; WINDOW_SINK_NON_HOME; UNKNOWN is not a vulnerability","Hypothesis","decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:56127-56156,56240-56244,196783-196792; decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log:372645-372652,400006-400264; artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/amazonwindowmanager_fosinit.xml:10-27; artifacts/phase6bk/ipc-ota-closure-20260810-01/references.csv:59-75","Offline complete Stub/onTransact and WMS gate join only; do not invoke private window-manager methods"
"P20A-004","ipc","com.amazon.alta.h2clientservice","H2ClientService / IH2ClientService.Stub / AndroidUserHelper :: onBind -> Stub.onTransact -> addUser tx3 -> AndroidUserHelper.addAndroidUser","IH2ClientService callers holding the bind permission; exact runtime caller selection is not captured; recovered holders include com.amazon.parentalcontrols, com.amazon.tahoe and com.android.systemui","Service is exported, singleUser and protected by com.amazon.alta.h2clientservice.permission.BIND_SERVICE; permission declaration is signature|amazon; IH2 Stub dispatches API calls without a second caller UID check","No Binder.getCallingUid or clearCallingIdentity in the recovered H2 bind/Stub/API slice; H2 process identity is used when AndroidUserHelper calls AmazonUserManager | singleUser service; addAndroidUser chooses adult versus child from UserMetadata role; resulting Android user ID is returned to H2 model; exact target user mapping remains incomplete","H2 API -> HouseholdController/UserWorkflow -> AndroidUserHelper.createAdultUser/createChildUser; child path can feed KFT lifecycle, but no direct HOME/PMS setter is in H2 code","No bind, AIDL transaction or user creation performed","Exact caller UID/signature at bind and role/input provenance for a production child creation remain unknown; downstream PMS acceptance is separate","SIGNATURE_BOUND_PROFILE_WORKFLOW; CHILD_KFT_HANDOFF_NON_HOME; UNKNOWN is not a vulnerability","Hypothesis","artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/028_com.amazon.h2clientservice.xmltree.txt:102-110; artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt:576-579; artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/007_com.amazon.parentalcontrols__0_com.amazon.parentalcontrols.xmltree.txt:80-88; artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/033_com_amazon_tahoe.xmltree.txt:55-75; artifacts/phase6it-missing-system-apps-20260807-01-files/jadx/sources/com/amazon/alta/h2clientservice/H2ClientService.java:167-338; artifacts/phase6it-missing-system-apps-20260807-01-files/jadx/sources/com/amazon/alta/h2shared/helpers/AndroidUserHelper.java:78-109","Offline map caller package signatures and workflow role-to-user data; do not bind or invoke H2 AIDL"
"P20A-005","ipc","fosinit/vendor callbacks","AmazonWindowManagerPwmCallback and AmazonVendorWindowManagerServiceCallback :: amazonwindowmanager_fosinit registration -> system_server callback dispatch","Callback registration is system_server in-process; Pwm callback concretely obtains the Amazon window Binder through ServiceManager; other callback consumer provenance remains incomplete","fosinit loader and callback base registration are present; Pwm callback has no separate caller permission gate because dispatch is in-process; downstream WMS gate is not merged into callback evidence","No clearCallingIdentity at callback registration or Pwm callback; Binder call originates from system_server callback context | Window/layout/PIP callback state has no explicit user selector; PIP state is global in the wrapper","Window policy adjustment, visibility and PIP notification only; no callback-to-PMS/HOME/package sink recovered","No callback trigger or window mutation performed","Completeness of runtime-loaded fosinit set and full AmazonVendorWindowManagerServiceCallback body remain unknown","STATIC_SYSTEMSERVER_CALLBACK_NON_HOME; REGISTRATION_COMPLETENESS_UNKNOWN; UNKNOWN is not a vulnerability","Hypothesis","artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/amazonwindowmanager_fosinit.xml:10-27; artifacts/phase6h/phase6h-framework-ipc-20260805-01/fosinit-edges.csv:18-19; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:196540-196700,196783-196792,203374-203390; work/luna_worker_phase6rt_systemui_callback_closure_20260810.csv:5-6","Offline hash/cross-check fosinit registrations and complete callback consumers; do not trigger callbacks"
"P20A-006","ipc","dcpms/child-experience decision","DCPMSService / ServiceBinder / IDeviceChildExperienceModeDecisionManager.Stub :: onBind tx1 getLastDeviceChildExperienceModeDecision; tx2/3 callback registration","No production external client was recovered; public service inventory identifies DCPMS owner UID 10090, while exact client UID is absent","Service requires com.amazon.dcpms.permission.GET_DEVICE_CDE_DECISION (signature|amazon); exported singleUser; Stub only enforces interface token and has no method-local UID check","Incoming Binder identity is not read, cleared or replaced in onBind/Stub/ServiceBinder; service executes under DCPMS process identity | singleUser, no AIDL user argument; decision is device-protected/process-global CDE state","Decision persistence read and callback map/broadcast only; no SettingsProvider, PMS, preferred-activity, package/component or HOME sink","No bind, lookup or transaction; bounded static closure only","External client/held grant and callback ownership remain unknown, but no sensitive platform sink or user-scope transition is present","CLOSED_BOUNDED_IDENTITY_NO_SENSITIVE_SINK; UNKNOWN_CLIENT_PROVENANCE; not a vulnerability","Hypothesis","work/luna_worker_phase9c_residual_ipc_20260810.csv:2-3; work/luna_worker_phase6ai_productpolicy_dcpms_closure_20260810.csv:8; SERVICE_MAP.md:2375; artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/021_com.amazon.dcpms.fos.service.xmltree.txt:168-175; artifacts/phase6it-missing-priv-apps-20260807-01/jadx/sources/com/amazon/dcpmsaidl/IDeviceChildExperienceModeDecisionManager.java:onTransact; artifacts/phase6it-missing-priv-apps-20260807-01/jadx/sources/com/amazon/dcpms/fos/service/ServiceBinder.java:getLastDeviceChildExperienceModeDecision/registerCallback","No further IPC testing; retain as bounded non-sensitive closure"
"P20B-01","ota","exact PS7331 package identity and admission","firmware/original/update-kindle-Fire_HD10-PS7331_user_4463_0031575863172.bin; firmware/extracted/PS7331/ota.prop; firmware/extracted/PS7331/META-INF/com/android/metadata; firmware/extracted/PS7331/META-INF/com/android/otacert","privileged OTA validator; no ordinary app/shell caller established","SignApk ZIP/JAR; ota-type=BLOCK; trona device; PS7331.4463N; release-keys; timestamp/product metadata gates","not closed in saved corpus","package admission before Java verifier/install","not replayed; host-only audit","native certificate verifier result and final recovery caller remain outside package metadata","CONFIRMED_STATIC; capability/admission metadata only","Confirmed","unzip/metadata evidence from P19B; firmware/extracted/PS7331/ota.prop; firmware/extracted/PS7331/META-INF/com/android/metadata; artifacts/phase6kt/recovery-verifier-audit-20260810-01/audit.json","Recover verifier/UID/SELinux provenance offline; do not execute OTA or recovery"
"P20B-02","ota","Java verification to install handoff","artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/device/software/ota/tasks/validate/OSUpdateValidator.java; artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/dcp/ota/SideloadVerifier.java; artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/dcp/ota/SideloadInstaller.java; artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/device/framework/UpdateSystemWrapper.java","OSUpdateValidator/SideloadVerifier -> RecoverySystemWrapper -> SideloadInstaller -> UpdateSystemWrapper","assertHash; RecoverySystem.verifyPackage; update-property/PVT/device validation; sideload integrity branch","not closed in saved corpus","UpdateSystem.install(Context,path,flags,options) handoff","not replayed; host-only audit","exact external caller UID, platform verifier implementation, native recovery executor/domain","CONFIRMED_STATIC handoff; reachability not established","Confirmed","artifacts/phase6kt/recovery-verifier-audit-20260810-01/audit.json; work/luna_worker_phase6sk_ota_recovery_20260810.md","Recover verifier/UID/SELinux provenance offline; do not execute OTA or recovery"
"P20B-03","ota","PS7331 update_verifier block and caremap verification","artifacts/phase9/ps7331-runtime-binary-audit-20260806-01/system-bin/bin/update_verifier; firmware/extracted/PS7331/META-INF/com/amazon/android/target.blocklist","system post-update verifier; exact init caller not recovered","target.blocklist/last_blocklist paths; caremap, mount_point, length, SHA1/device-info and block-range error markers","not closed in saved corpus","verify blocks on named partitions before OTA status/slot outcome","not replayed; host-only audit","strings and stripped binary do not close exact CFG call order or execution event","CONFIRMED_STATIC implementation capability; execution unknown","Hypothesis","strings of update_verifier; file type/SHA256 c52da328823964cb79fd633c4384261c1c6f59bcbdef9a426bb381e6d877c7cd; target.blocklist","Recover verifier/UID/SELinux provenance offline; do not execute OTA or recovery"
"P20B-04","ota","slot outcome and rollback-adjacent boot-control sink","artifacts/phase9/ps7331-runtime-binary-audit-20260806-01/system-bin/bin/update_verifier","update_verifier -> android.hardware.boot@1.0 boot-control service; exact service/domain caller unresolved","ro.boot.slot_suffix; getService; markBootSuccessful; setSlotAsUnbootable; verified/reboot error markers","not closed in saved corpus","slot successful/unbootable state and OTA verification properties","not replayed; host-only audit","no AVB key authority, rollback-index value/compare, or recovery-to-verifier caller chain","BOUNDED_UNKNOWN; no rollback bypass evidence","Hypothesis","update_verifier strings: bootctrl_wrapper.cpp, markBootSuccessful, setSlotAsUnbootable, persist.sys.ota.verified, amzn_ota_verified","Recover verifier/UID/SELinux provenance offline; do not execute OTA or recovery"
