evidence_id,phase,surface,source,caller,gate,identity_scope,sink,observed_effect,confidence,evidence_file,evidence_sha256,status,scope
WG-001,6WL,6WG Framework IPC residual,work/luna_worker_phase6wg_ipc_residual_20260810.csv,external dumpsys caller subject to DUMP; exact UID UNKNOWN,android.permission.DUMP checked in dump; service-manager/SELinux rule UNKNOWN,device/default settings user (explicit user overload absent),FireOsDisplayPowerControllerService$BinderService,,static direct,,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,,previous public Phase 6X4 corpus
WG-002,6WL,6WG Framework IPC residual,work/luna_worker_phase6wg_ipc_residual_20260810.csv,system_server input-monitor caller/publisher; external Binder caller not recovered,system_server/internal callback; permission and SELinux/service-manager gate UNKNOWN,system/default secure-settings scope (non-user overload),InputFilterMonitorInputManagerServiceCallback,,static direct,,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,,previous public Phase 6X4 corpus
WG-003,6WL,6WG Framework IPC residual,work/luna_worker_phase6wg_ipc_residual_20260810.csv,remote Binder caller with MODE_SWITCH; exact UID UNKNOWN,com.amazon.alexa.permission.MODE_SWITCH enforced by checkCallingOrSelfPermission; service-manager/SELinux rule UNKNOWN,USER_CURRENT/-2 passed to putIntForUser,AlexaModeSwitchManagerService$AlexaModeSwitchAPIImpl,,static direct,,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,,previous public Phase 6X4 corpus
6WL-ROW-004,6WL,6WH OTA residual,work/luna_worker_phase6wh_ota_residual_20260810.csv,,,,,NONE,UNKNOWN,"artifacts/phase6mk-updater-dispatch-20260810-04/registration-dispatch.csv:7,16,19-22; updater-script-entrypoints.csv:2-13; addresses 0x406b8c,0x406e0c,0x406ee4,0x406f2c,0x406f6c,0x406fac",d88e35ec08d9ef0a55a3dbc17dc430b62d3b419810653542b6dd3077095cca24;4d0128ee85eec7b0c88716012858bef699f740907e46e854939c83a6c9e99077,,previous public Phase 6X4 corpus
6WL-ROW-005,6WL,6WH OTA residual,work/luna_worker_phase6wh_ota_residual_20260810.csv,,,,,NONE,UNKNOWN,"artifacts/phase6ne-updater-cache-flow-20260810-03/direct-call-edges.csv:1-5,42-43; addresses 0x417bf0,0x417ea8,0x417eb0,0x409cb4,0x409cdc",d653e4a84898509781a333c56502087a83981781fcf6612d7026bfd79602b477,,previous public Phase 6X4 corpus
6WL-ROW-006,6WL,6WH OTA residual,work/luna_worker_phase6wh_ota_residual_20260810.csv,,,,,NONE,UNKNOWN,"artifacts/phase6my-bootafter-ota-package-helper-20260810-01/call-edges.csv:6MY-E03-E04,E08,E10",1136d4815ae63011522fead17ef743bc0daa57334ae6ebb3b4c05c1d09507c52,,previous public Phase 6X4 corpus
6WL-ROW-007,6WL,6WH OTA residual,work/luna_worker_phase6wh_ota_residual_20260810.csv,,,,,NONE,UNKNOWN,"artifacts/phase6j/phase6j-ota-controller-holders-20260805-01/controller-permission-context.txt:10537-10541,27271-27275",d68768263846c87ffc6b1b1d100b5b5bcd34212d5605c4e3eb1085da8c67d1e0,,previous public Phase 6X4 corpus
6WL-ROW-008,6WL,6WH OTA residual,work/luna_worker_phase6wh_ota_residual_20260810.csv,,,,,NONE,UNKNOWN,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/dcp/ota/SideloadMover.java:31-44; FileHelper.java:305-339,59131cf032d8544cd44ea839ad63eb37993d2853b4925bf56d10ede721693f63;55a7f44a70735626be7ebde25e96812346f336fddbec2c87ca0fb709b980,,previous public Phase 6X4 corpus
6WL-ROW-009,6WL,6WH OTA residual,work/luna_worker_phase6wh_ota_residual_20260810.csv,,,,,NONE,UNKNOWN,firmware/extracted/PS7331/vbmeta.img absent; firmware/extracted/PS7331/META-INF/com/android/avb* absent; UpdateSystemWrapper.java:33-44,c99f6884fa298546b18722a5addb46ae35aff4c9f6003d8ad3ccaebe2edfdbd9,,previous public Phase 6X4 corpus
WI-01,6WL,6WI native driver caller,work/luna_worker_phase6wi_driver_caller_20260810.csv,,,policy names device type only; no exact caller identity or framework/HOME/package sink,,UNKNOWN,UNKNOWN,,cmdq_driver.c=b3a54d37b4e498ff969a2717cb02cefc923ae6f39da32f5fd8529fe3dce6e899; kernel.config=eefb8db484f65e196a7bb401ae0165f434f08b13041aef6762917e284d013d04; Image=10638df8d43c83e0799bfe071ef29a8069ad909b320536cff6b58ee5e1efea7d; vendor_file_contexts=db5cd91b8d25170ad27809ace8cdbbd2a3f838ec72e2598a4f6b5a44953d322e,,previous public Phase 6X4 corpus
