domain,surface,source_or_entry,authority_or_permission,caller_or_scope,identity_or_runtime,sink_or_effect,status,next_safe_step,source_csv
vending-residual,com.android.vending/com.google.android.finsky.setup.LauncherConfigurationReceiver,artifacts/phase6ps-vending-receiver-20260810-01/LauncherConfigurationReceiver.java:b(Intent) recovered baksmali body; JADX stub in artifacts/phase6mb-vending-jadx-20260810-01/base/sources/com/google/android/finsky/setup/LauncherConfigurationReceiver.java,exported=true; no android:permission on manifest receiver; action=com.android.launcher3.action.FIRST_SCREEN_ACTIVE_INSTALLS,"Manifest action; host evidence lists com.android.vending receiver as current action handler in artifacts/phase6k/readonly-device-20260805-01/preferred_activities.stdout.txt:5251-5252. Exact sender is not established. Body requires verificationToken PendingIntent, compares creatorPackage with current launcher, and applies setup/HOME-candidate checks before accepting.",identity=PendingIntent creatorPackage is checked against current launcher; fallback accepts only a package with ApplicationInfo plus launcher qualification and setup gate. No caller UID/Binder identity claim recovered.; runtime=Host-only static artifacts; no component invocation or device mutation. Physical preferred-activity listing is observation only.,"aoba.k(aoax,5,1) and aofc.y(...) homescreen restore/install bookkeeping after accepted item lists; no direct PackageManager component-state/HOME preferred writer observed.","recovered and bounded negative for Fire Launcher/HOME control; exported metadata surface remains externally addressable, but skipped/partial downstream code is not treated as a vulnerability.","If needed, decode the exact-build DEX/smali around aofc.y and aoal.iy and identify the concrete launcher-side consumer; do not broadcast or construct PendingIntent.",work/luna_worker_vending_skipped_methods_followup_20260810.csv
vending-residual,com.android.vending/com.google.android.finsky.setup.dse.impl.DseService,"artifacts/phase6mb-vending-jadx-20260810-01/base/sources/com/google/android/finsky/setup/dse/impl/DseService.java:487-673 (h,i,j,k,mi,o) plus 272-484 (f,g) and 699-736 (s); JADX has partial warnings in g but no whole-method skipped stub","exported=true; android:permission=com.google.android.finsky.permission.DSE; action=com.android.vending.setup.IDseService.BIND. Permission is declared by com.android.vending itself and host runtime snapshot records protectionLevel=normal, sourcePackage=com.android.vending, granted=true to UID 10180; this does not identify an arbitrary authorized caller.","Bind trigger is the manifest action. Host service listing records DseService for IDseService.BIND (artifacts/phase6k/readonly-device-20260805-01/preferred_activities.stdout.txt:8048-8049,33161). Exact external client/caller is not recovered in the host corpus.","identity=mi() gates DeviceSetup feature before returning mph binder; exported permission gate is followed by o(), which maps Binder.getCallingUid() to packages and calls arjs.z(uid, authorization-config), throwing SecurityException on unauthorized package. k() is identity evidence, not a bypass.; runtime=Host-only JADX/source and manifest; runtime snapshot confirms registration, permission definition, and service presence, but no bind/transaction invocation was performed.",mi() first returns binder only when DeviceSetup flag is enabled; first privileged consumer after bind is o() authorization. In selected flows: t() calls PackageManager.setDefaultBrowserPackageNameAsUser; j() writes eligibility secure settings; h() starts SearchSelector activity; f()/g() can select/install a DSE/browser package. No Fire Launcher/HOME setter observed.,"partial recovery with bounded sink map; reaches browser/default-search selection, install bookkeeping, search-selector UI, and secure-settings eligibility paths under authorization/setup gates; no evidence of Fire Launcher/HOME or root sink. Do not infer vulnerability from exported+normal permission or JADX warnings.","Recover exact DEX/smali for mph transaction dispatch and arjs authorization provenance, then map each transaction to f/g/h/i/j/o; keep all validation host-only and do not bind, transact, start service, or mutate device state.",work/luna_worker_vending_skipped_methods_followup_20260810.csv
amazon-package-manager-proxy,tx6 registerProxyReceiver,"IAmazonPackageManager.registerProxyReceiver(Intent, PendingIntent); Binder tx6; Stub dispatch boot-fosframework/disassembly.log:403505-403530; server BinderService fosservices/disassembly.log:95943-95954","No Binder-local permission or direct caller-UID check observed. ProxyReceiver checks PendingIntent creator package with getApplicationInfo(package, 128) and requires ApplicationInfo.FLAG_SYSTEM at fosservices/disassembly.log:97887-97900. New action also requires queryBroadcastReceivers result > 0; duplicate action compares creator UIDs at :97901-97976.",No production static caller found; generated Stub dispatch present; Phase 6IP test-only caller is ProxyReceiverGateProbeActivity.java:53-58 and :80-101; any other caller is unknown,identity=No clearCallingIdentity or restoreCallingIdentity in tx6 BinderService or ProxyReceiver slices. Caller identity is not normalized before the FLAG_SYSTEM creator-package gate.; runtime=Published by artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/amazonpackagemanager_fosinit.xml:9-10. Existing Phase 6IP recorded tx6=false and receiver_hits=0. No device IPC or mutation in this follow-up.,"First state consumer is mOnTheFlyRegisteredIntents keyed by filter action. New action calls Context.registerReceiver and stores PendingIntent at fosservices/disassembly.log:97968-97986. ProxyReceiver$1.onReceive clones the list, starts ProxyIntentThread, and PendingIntent.send is at :97704-97754 and :97670-97699. No HOME/PMS writer found.",Confirmed static implementation and sink; production external caller unknown; ordinary self-created PendingIntent blocked by existing Phase 6IP evidence,"If new offline artifacts appear, search only for system-created PendingIntent provenance and production callsite; do not synthesize tx6 payload or replay it.",work/luna_worker_amazonpm_proxy_followup_20260810.csv
amazon-package-manager-proxy,tx7 deregisterProxyReceiver,IAmazonPackageManager.deregisterProxyReceiver(Intent); Binder tx7; Stub dispatch boot-fosframework/disassembly.log:403487-403510; server BinderService fosservices/disassembly.log:95877-95888,"No separate permission marker in tx7 path. Under synchronized mOnTheFlyRegisteredIntents, an entry is removed only when PendingIntent.getCreatorUid equals Binder.getCallingUid at fosservices/disassembly.log:97828-97870. Missing map or entry returns false.",No production static caller found; generated Stub dispatch present; Phase 6IP test-only caller is ProxyReceiverGateProbeActivity.java:59-61 and :103-124; any other caller is unknown,identity=No clearCallingIdentity or restoreCallingIdentity in tx7 slices. Binder.getCallingUid is used directly for ownership comparison at fosservices/disassembly.log:97828-97842.; runtime=Published by artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/amazonpackagemanager_fosinit.xml:9-10. Existing Phase 6IP recorded tx7=false with no caller-owned map entry. No device IPC or mutation in this follow-up.,First state consumer is the action list in mOnTheFlyRegisteredIntents. Empty action list removes the key; empty map calls Context.unregisterReceiver at fosservices/disassembly.log:97842-97878. No package or HOME state consumer found.,Confirmed static implementation and caller-UID cleanup gate; production external caller unknown,"If new offline artifacts appear, inspect legitimate registration provenance and ownership edges only; do not guess tx7 parcel fields or replay it.",work/luna_worker_amazonpm_proxy_followup_20260810.csv
settings-home-resource,DefaultHomePreferenceController,decompiled/jadx/settings/sources/com/android/settings/applications/defaultapps/DefaultHomePreferenceController.java,Settings app context; PackageManagerWrapper,isAvailable/getDefaultAppInfo/getSettingIntent/hasHomePreference/isHomeDefault,Phase 6FO/6DI already records controller and missing GUI route; no new runtime mutation,key=default_home; config_show_default_home; MAIN+HOME+DEFAULT; effect=Enumerates HOME candidates and reports current PackageManager default; no direct state write,confirmed-static-no-new-key,Keep as source comparator only,work/luna_worker_settings_home_resource_followup_20260810.csv
settings-home-resource,OTA PS7331 DefaultHomePreferenceController,decompiled/jadx/ota-PS7331/settings/sources/com/android/settings/applications/defaultapps/DefaultHomePreferenceController.java,Settings app context; PackageManagerWrapper,same as retail JADX,No runtime invocation; compared against non-OTA PS7331 tree,key=default_home; config_show_default_home; MAIN+HOME+DEFAULT; effect=Exact OTA copy of controller surface; no added HOME key or writer,newly-recorded-static-equivalence,Hash/compare only if another exact-build Settings APK appears,work/luna_worker_settings_home_resource_followup_20260810.csv
settings-home-resource,DefaultHomePicker,decompiled/jadx/settings/sources/com/android/settings/applications/defaultapps/DefaultHomePicker.java,Internal Settings fragment; requires user selection and SET_PREFERRED_APPLICATIONS through PMS,getDefaultKey/setDefaultKey,Phase 6DI records preferred record persists but loses to Fire priority 50; Phase 6FO records picker not exposed,key=flattened ComponentName; HOME_FILTER; replacePreferredActivity; effect=Would persist preferred HOME and start implicit HOME,confirmed-static-route-closed,Do not click or dispatch; retain source-only mapping,work/luna_worker_settings_home_resource_followup_20260810.csv
settings-home-resource,Default-app dashboard XML,decompiled/jadx/settings/resources/res/xml/app_default_settings.xml,Exported AdvancedAppsActivity loads this dashboard; SubSettings non-exported,preference parser/fragment routing,Phase 6FO follow-up already identified omitted default_home row; no runtime HOME selection,key=No default_home item; browser/phone/sms/payment/emergency/domain keys; effect=No dashboard HOME row despite controller being constructed,confirmed-static-omission,No UI mutation; compare only against future exact-build XML,work/luna_worker_settings_home_resource_followup_20260810.csv
settings-home-resource,Home picker XML,decompiled/jadx/settings/resources/res/xml/default_home_settings.xml,Internal Settings fragment only; no external caller established,DefaultHomePicker.getPreferenceScreenResId,Phase 6FO records fragment whitelist/route boundary; no runtime picker display,key=XML resource default_home_settings with title home_app; effect=Provides picker screen only when internal fragment is reached,confirmed-static-unreachable,Do not launch fragment; preserve as dormant route evidence,work/luna_worker_settings_home_resource_followup_20260810.csv
settings-home-resource,Settings bool resource,decompiled/jadx/settings/resources/res/values/bools.xml,Settings resource context; framework resource resolution,Resources.getBoolean via DefaultHomePreferenceController,Phase 6DI/6FO records bool and absent visible row; no overlay override found,key=config_show_default_home=true; effect=Enables controller availability but cannot create a dashboard row by itself,newly-recorded-resource-gate-equivalence,Host-only diff future framework resource overlays; no overlay switch,work/luna_worker_settings_home_resource_followup_20260810.csv
