iteration	fire_event_seen	redirect_sent	target_observed	foreground
1	true	true	true	mResumedActivity: ActivityRecord{a4c80d1 u0 org.fireosresearch.phase4.alias/.HomeActivity t1}
2	true	true	true	mResumedActivity: ActivityRecord{a4c80d1 u0 org.fireosresearch.phase4.alias/.HomeActivity t1}
3	true	true	true	mResumedActivity: ActivityRecord{a4c80d1 u0 org.fireosresearch.phase4.alias/.HomeActivity t1}
4	true	true	true	mResumedActivity: ActivityRecord{a4c80d1 u0 org.fireosresearch.phase4.alias/.HomeActivity t1}
5	true	true	true	mResumedActivity: ActivityRecord{a4c80d1 u0 org.fireosresearch.phase4.alias/.HomeActivity t1}
6	true	true	true	mResumedActivity: ActivityRecord{a4c80d1 u0 org.fireosresearch.phase4.alias/.HomeActivity t1}
7	true	true	true	mResumedActivity: ActivityRecord{a4c80d1 u0 org.fireosresearch.phase4.alias/.HomeActivity t1}
8	true	true	true	mResumedActivity: ActivityRecord{a4c80d1 u0 org.fireosresearch.phase4.alias/.HomeActivity t1}
9	true	true	true	mResumedActivity: ActivityRecord{a4c80d1 u0 org.fireosresearch.phase4.alias/.HomeActivity t1}
10	true	true	true	mResumedActivity: ActivityRecord{a4c80d1 u0 org.fireosresearch.phase4.alias/.HomeActivity t1}
11	true	true	true	mResumedActivity: ActivityRecord{a4c80d1 u0 org.fireosresearch.phase4.alias/.HomeActivity t1}
12	true	true	true	mResumedActivity: ActivityRecord{a4c80d1 u0 org.fireosresearch.phase4.alias/.HomeActivity t1}
13	true	true	true	mResumedActivity: ActivityRecord{a4c80d1 u0 org.fireosresearch.phase4.alias/.HomeActivity t1}
14	true	true	true	mResumedActivity: ActivityRecord{a4c80d1 u0 org.fireosresearch.phase4.alias/.HomeActivity t1}
15	true	true	true	mResumedActivity: ActivityRecord{a4c80d1 u0 org.fireosresearch.phase4.alias/.HomeActivity t1}
16	true	true	true	mResumedActivity: ActivityRecord{a4c80d1 u0 org.fireosresearch.phase4.alias/.HomeActivity t1}
17	true	true	true	mResumedActivity: ActivityRecord{a4c80d1 u0 org.fireosresearch.phase4.alias/.HomeActivity t1}
18	true	true	true	mResumedActivity: ActivityRecord{a4c80d1 u0 org.fireosresearch.phase4.alias/.HomeActivity t1}
19	true	true	true	mResumedActivity: ActivityRecord{a4c80d1 u0 org.fireosresearch.phase4.alias/.HomeActivity t1}
20	true	true	true	mResumedActivity: ActivityRecord{a4c80d1 u0 org.fireosresearch.phase4.alias/.HomeActivity t1}
21	true	true	true	mResumedActivity: ActivityRecord{a4c80d1 u0 org.fireosresearch.phase4.alias/.HomeActivity t1}
22	true	true	true	mResumedActivity: ActivityRecord{a4c80d1 u0 org.fireosresearch.phase4.alias/.HomeActivity t1}
23	true	true	true	mResumedActivity: ActivityRecord{a4c80d1 u0 org.fireosresearch.phase4.alias/.HomeActivity t1}
24	true	true	true	mResumedActivity: ActivityRecord{a4c80d1 u0 org.fireosresearch.phase4.alias/.HomeActivity t1}
25	true	true	true	mResumedActivity: ActivityRecord{a4c80d1 u0 org.fireosresearch.phase4.alias/.HomeActivity t1}
26	true	true	true	mResumedActivity: ActivityRecord{a4c80d1 u0 org.fireosresearch.phase4.alias/.HomeActivity t1}
27	true	true	true	mResumedActivity: ActivityRecord{a4c80d1 u0 org.fireosresearch.phase4.alias/.HomeActivity t1}
28	true	true	true	mResumedActivity: ActivityRecord{a4c80d1 u0 org.fireosresearch.phase4.alias/.HomeActivity t1}
29	true	true	true	mResumedActivity: ActivityRecord{a4c80d1 u0 org.fireosresearch.phase4.alias/.HomeActivity t1}
30	true	true	true	mResumedActivity: ActivityRecord{a4c80d1 u0 org.fireosresearch.phase4.alias/.HomeActivity t1}
