elapsed_seconds	utc	get_state
0	2026-08-03T01:19:30Z	error: device 'G001LT0511550CFT' not found
2	2026-08-03T01:19:32Z	error: device 'G001LT0511550CFT' not found
4	2026-08-03T01:19:34Z	error: device 'G001LT0511550CFT' not found
6	2026-08-03T01:19:36Z	error: device 'G001LT0511550CFT' not found
8	2026-08-03T01:19:38Z	error: device 'G001LT0511550CFT' not found
10	2026-08-03T01:19:40Z	error: device 'G001LT0511550CFT' not found
12	2026-08-03T01:19:42Z	error: device 'G001LT0511550CFT' not found
14	2026-08-03T01:19:45Z	error: device 'G001LT0511550CFT' not found
17	2026-08-03T01:19:47Z	error: device 'G001LT0511550CFT' not found
19	2026-08-03T01:19:49Z	device
