candidate,interface,published_service,proxy_method,descriptor,transaction_code,proxy_line,transaction_line,implementation_method,implementation_range,permission_or_gate,permission_result_consumption,identity_markers,sink_markers,home_markers,package_state_markers,caller_reachability,classification,confidence
accessibility,IAmazonAccessibilityManager,amazonaccessibilitymanager,magnificationCanvasAddLine,(FFFFFI)V,1,394143,394168,AmazonAccessibilityManagerService.BinderService.magnificationCanvasAddLine,35298-35315,com.amazon.logan.permission.DRAW_MAGNIFICATION_RECT [external/helper call not in bounded method],external-helper,no caller-identity marker observed,MagnificationCanvas,none observed,none observed,not established from proxy/publication alone,explicit permission/helper marker; no HOME/package-state writer,Confirmed static
accessibility,IAmazonAccessibilityManager,amazonaccessibilitymanager,magnificationCanvasAddRect,(FFFFI)V,2,394178,394202,AmazonAccessibilityManagerService.BinderService.magnificationCanvasAddRect,35316-35332,com.amazon.logan.permission.DRAW_MAGNIFICATION_RECT [external/helper call not in bounded method],external-helper,no caller-identity marker observed,MagnificationCanvas,none observed,none observed,not established from proxy/publication alone,explicit permission/helper marker; no HOME/package-state writer,Confirmed static
accessibility,IAmazonAccessibilityManager,amazonaccessibilitymanager,magnificationCanvasClear,()V,3,394212,394226,AmazonAccessibilityManagerService.BinderService.magnificationCanvasClear,35333-35344,com.amazon.logan.permission.DRAW_MAGNIFICATION_RECT [external/helper call not in bounded method],external-helper,no caller-identity marker observed,MagnificationCanvas,none observed,none observed,not established from proxy/publication alone,explicit permission/helper marker; no HOME/package-state writer,Confirmed static
activity,IAmazonActivityManager,amazonactivitymanager,checkKillAppGoingIntoBg,(Ljava/lang/String;I)Z,3,394373,394392,AmazonActivityManagerService.BinderService.checkKillAppGoingIntoBg,39808-39824,none observed in bounded BinderService method,not-applicable,no caller-identity marker observed,ActivityManager,none observed,none observed,not established from proxy/publication alone,no permission marker in bounded method; caller reachability unresolved,Unknown authorization (bounded)
activity,IAmazonActivityManager,amazonactivitymanager,disablePipWindows,()V,13,394415,394430,AmazonActivityManagerService.BinderService.disablePipWindows,39941-39980,com.amazon.permission.CONTROL_PIP_WINDOW; Requires com.amazon.permission.CONTROL_PIP_WINDOW permission [enforceCallingOrSelfPermission],not-applicable,Binder.clearCallingIdentity; Binder.restoreCallingIdentity,ActivityManager,none observed,none observed,not established from proxy/publication alone,explicit permission/helper marker; no HOME/package-state writer,Confirmed static
activity,IAmazonActivityManager,amazonactivitymanager,dismissMultiWindow,()V,11,394446,394460,AmazonActivityManagerService.BinderService.dismissMultiWindow,39981-39993,com.amazon.permission.DISMISS_MULTIWINDOW [enforceCallingPermission],not-applicable,no caller-identity marker observed,ActivityManager,none observed,none observed,not established from proxy/publication alone,explicit permission/helper marker; no HOME/package-state writer,Confirmed static
activity,IAmazonActivityManager,amazonactivitymanager,dismissPipWindow,()V,12,394470,394484,AmazonActivityManagerService.BinderService.dismissPipWindow,39994-40007,none observed in bounded BinderService method,not-applicable,no caller-identity marker observed,ActivityManager,none observed,none observed,not established from proxy/publication alone,no permission marker in bounded method; caller reachability unresolved,Unknown authorization (bounded)
activity,IAmazonActivityManager,amazonactivitymanager,enablePipWindows,()V,14,394494,394509,AmazonActivityManagerService.BinderService.enablePipWindows,40074-40112,com.amazon.permission.CONTROL_PIP_WINDOW; Requires com.amazon.permission.CONTROL_PIP_WINDOW permission [enforceCallingOrSelfPermission],not-applicable,Binder.clearCallingIdentity; Binder.restoreCallingIdentity,ActivityManager,none observed,none observed,not established from proxy/publication alone,explicit permission/helper marker; no HOME/package-state writer,Confirmed static
activity,IAmazonActivityManager,amazonactivitymanager,getCpuLoad,()F,8,394525,394540,AmazonActivityManagerService.BinderService.getCpuLoad,40113-40133,none observed in bounded BinderService method,not-applicable,no caller-identity marker observed,ActivityManager,none observed,none observed,not established from proxy/publication alone,no permission marker in bounded method; caller reachability unresolved,Unknown authorization (bounded)
activity,IAmazonActivityManager,amazonactivitymanager,getRecentCrashes,()[Lamazon/app/CrashDescription;,4,394565,394580,AmazonActivityManagerService.BinderService.getRecentCrashes,40134-40335,none observed in bounded BinderService method,not-applicable,no caller-identity marker observed,ActivityManager,none observed,none observed,not established from proxy/publication alone,no permission marker in bounded method; caller reachability unresolved,Unknown authorization (bounded)
activity,IAmazonActivityManager,amazonactivitymanager,isOnHomeStack,()Z,9,394601,394616,AmazonActivityManagerService.BinderService.isOnHomeStack,40336-40373,none observed in bounded BinderService method,not-applicable,Binder.clearCallingIdentity; Binder.restoreCallingIdentity,ActivityManager,isOnHomeStack,none observed,not established from proxy/publication alone,HOME-adjacent observer/callback surface; no HOME selector,Strong evidence (bounded)
activity,IAmazonActivityManager,amazonactivitymanager,onActivityResume,(Landroid/content/ComponentName;)V,7,394639,394663,AmazonActivityManagerService.BinderService.onActivityResume,40401-40416,none observed in bounded BinderService method,not-applicable,no caller-identity marker observed,ActivityManager; onActivityResume; sendMessage; ComponentName,onActivityResume,none observed,not established from proxy/publication alone,HOME-adjacent observer/callback surface; no HOME selector,Strong evidence (bounded)
activity,IAmazonActivityManager,amazonactivitymanager,packageLifetimeHint,(Ljava/lang/String;FZI)I,2,394679,394702,AmazonActivityManagerService.BinderService.packageLifetimeHint,40417-40452,com.amazon.permission.SMARTOOM_HINTING; No permission to call packageLifetimeHint [checkCallingOrSelfPermission],consumed,Binder.clearCallingIdentity; Binder.restoreCallingIdentity,ActivityManager,none observed,none observed,not established from proxy/publication alone,explicit permission/helper marker; no HOME/package-state writer,Confirmed static
activity,IAmazonActivityManager,amazonactivitymanager,preWarmApplicationForUser,(Ljava/lang/String;II)I,1,394721,394737,AmazonActivityManagerService.BinderService.preWarmApplicationForUser,40453-40534,com.amazon.permission.APP_PREWARM [checkCallingPermission; return-value consumption not seen in adjacent instructions],not seen in adjacent instructions,Binder.clearCallingIdentity; Binder.restoreCallingIdentity,startProcessLocked; PackageManager; ActivityManager; ComponentName,none observed,none observed,not established from proxy/publication alone,"permission check result not consumed in bounded instructions; potential authorization anomaly, no HOME/package-state writer",Strong evidence (bounded; not exploit proof)
activity,IAmazonActivityManager,amazonactivitymanager,registerActivitySwitchObserver,(Lamazon/app/IAmazonActivitySwitchObserver;)V,5,394752,394771,AmazonActivityManagerService.BinderService.registerActivitySwitchObserver,40535-40564,com.amazon.permission.ACTIVITY_SWITCH_WATCHER [enforceCallingPermission],not-applicable,no caller-identity marker observed,ActivityManager; RemoteCallbackList; onActivityResume; ComponentName,onActivityResume; registerActivitySwitchObserver,none observed,not established from proxy/publication alone,HOME-adjacent observer/callback surface; no HOME selector,Strong evidence (bounded)
activity,IAmazonActivityManager,amazonactivitymanager,requestCpuBoost,(II)Z,10,394782,394797,AmazonActivityManagerService.BinderService.requestCpuBoost,40565-40659,com.amazon.permission.USE_PERFBOOST; Requires com.amazon.permission.USE_PERFBOOST permission [checkCallingOrSelfPermission],consumed,no caller-identity marker observed,ActivityManager,none observed,none observed,not established from proxy/publication alone,explicit permission/helper marker; no HOME/package-state writer,Confirmed static
activity,IAmazonActivityManager,amazonactivitymanager,unregisterActivitySwitchObserver,(Lamazon/app/IAmazonActivitySwitchObserver;)V,6,394817,394839,AmazonActivityManagerService.BinderService.unregisterActivitySwitchObserver,40660-40680,com.amazon.permission.ACTIVITY_SWITCH_WATCHER [enforceCallingPermission],not-applicable,no caller-identity marker observed,ActivityManager; RemoteCallbackList,registerActivitySwitchObserver; unregisterActivitySwitchObserver,none observed,not established from proxy/publication alone,HOME-adjacent observer/callback surface; no HOME selector,Strong evidence (bounded)
